"",BBFB1.Q.N.DE.B5.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:22,
1991-01,47551.371,
1991-04,48361.445,
1991-07,45618.958,
1991-10,49238.413,
1992-01,48919.506,
1992-04,48211.263,
1992-07,45104.676,
1992-10,49052.560,
1993-01,40267.150,
1993-04,40605.184,
1993-07,38646.507,
1993-10,42109.751,
1994-01,41251.979,
1994-04,44774.238,
1994-07,42978.548,
1994-10,47477.283,
1995-01,48888.275,
1995-04,50111.832,
1995-07,46708.474,
1995-10,49937.882,
1996-01,50390.144,
1996-04,50513.298,
1996-07,48039.237,
1996-10,53965.033,
1997-01,53346.808,
1997-04,56221.384,
1997-07,55656.501,
1997-10,60660.991,
1998-01,60299.203,
1998-04,62794.539,
1998-07,58588.753,
1998-10,62272.488,
1999-01,60805.037,
1999-04,65697.531,
1999-07,63665.098,
1999-10,67790.942,
2000-01,69014.843,
2000-04,71818.699,
2000-07,72955.097,
2000-10,84172.779,
2001-01,75431.040,
2001-04,78888.686,
2001-07,73317.766,
2001-10,75560.755,
2002-01,67192.753,
2002-04,73238.487,
2002-07,70932.041,
2002-10,76461.417,
2003-01,74106.645,
2003-04,74824.432,
2003-07,71575.139,
2003-10,79645.844,
2004-01,77116.762,
2004-04,78852.289,
2004-07,79152.230,
2004-10,85541.788,
2005-01,79331.514,
2005-04,86468.150,
2005-07,85033.355,
2005-10,93957.802,
2006-01,93609.021,
2006-04,97205.867,
2006-07,96945.333,
2006-10,106248.536,
2007-01,102572.670,
2007-04,106733.159,
2007-07,104565.115,
2007-10,109381.442,
2008-01,108405.956,
2008-04,112700.672,
2008-07,111660.249,
2008-10,105569.302,
2009-01,91944.463,
2009-04,86737.504,
2009-07,88899.966,
2009-10,94380.039,
2010-01,97219.047,
2010-04,105700.209,
2010-07,106079.086,
2010-10,113897.564,
2011-01,119003.763,
2011-04,125072.129,
2011-07,118712.004,
2011-10,122591.173,
2012-01,124542.973,
2012-04,123081.661,
2012-07,119143.411,
2012-10,122755.138,
2013-01,123558.944,
2013-04,125171.760,
2013-07,124506.444,
2013-10,129958.753,
2014-01,129361.520,Provisional value
2014-04,130930.921,Provisional value
2014-07,128420.717,Provisional value
