"",BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:20,
1991-01,21.017,
1991-04,639.872,
1991-07,219.031,
1991-10,-253.215,
1992-01,-85.856,
1992-04,-439.604,
1992-07,-161.230,
1992-10,-21.068,
1993-01,35.836,
1993-04,-0.936,
1993-07,136.999,
1993-10,276.751,
1994-01,243.994,
1994-04,208.328,
1994-07,-320.069,
1994-10,405.964,
1995-01,-167.070,
1995-04,156.525,
1995-07,242.004,
1995-10,110.605,
1996-01,272.185,
1996-04,292.161,
1996-07,-316.581,
1996-10,692.893,
1997-01,246.563,
1997-04,241.847,
1997-07,385.015,
1997-10,2904.165,
1998-01,1398.744,
1998-04,155.070,
1998-07,155.583,
1998-10,4735.338,
1999-01,782.023,
1999-04,2536.586,
1999-07,1212.284,
1999-10,589.978,
2000-01,526.372,
2000-04,392.195,
2000-07,886.018,
2000-10,319.091,
2001-01,419.968,
2001-04,2077.499,
2001-07,1234.234,
2001-10,1142.234,
2002-01,941.953,
2002-04,714.757,
2002-07,-166.539,
2002-10,-180.153,
2003-01,670.045,
2003-04,-112.058,
2003-07,189.158,
2003-10,85.522,
2004-01,-1258.138,
2004-04,80.456,
2004-07,-205.648,
2004-10,660.976,
2005-01,-538.788,
2005-04,-442.068,
2005-07,1058.158,
2005-10,1461.720,
2006-01,194.092,
2006-04,2072.162,
2006-07,779.106,
2006-10,837.754,
2007-01,1643.023,
2007-04,2938.659,
2007-07,444.404,
2007-10,319.039,
2008-01,1554.863,
2008-04,1669.062,
2008-07,3421.466,
2008-10,680.947,
2009-01,-2124.875,
2009-04,-2163.936,
2009-07,613.040,
2009-10,-192.152,
2010-01,-363.823,
2010-04,693.564,
2010-07,781.230,
2010-10,486.255,
2011-01,-152.664,
2011-04,-1027.723,
2011-07,3313.413,
2011-10,7395.326,
2012-01,-1225.432,
2012-04,2694.612,
2012-07,488.595,
2012-10,2452.074,
2013-01,-1380.162,
2013-04,327.121,
2013-07,-607.004,
2013-10,-2688.614,
2014-01,-1213.103,Provisional value
2014-04,-2533.686,Provisional value
2014-07,95.812,Provisional value
2014-10,861.866,Provisional value
