"",BBK01.OEAH89N,BBK01.OEAH89N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:43,
2002-01,18.321,
2002-04,18.144,
2002-07,18.944,
2002-10,17.364,
2003-01,16.646,
2003-04,15.583,
2003-07,15.962,
2003-10,15.613,
2004-01,14.681,
2004-04,13.997,
2004-07,13.364,
2004-10,8.423,
2005-01,13.775,
2005-04,13.053,
2005-07,10.502,
2005-10,9.426,
2006-01,9.188,
2006-04,10.511,
2006-07,9.940,
2006-10,9.110,
2007-01,8.707,
2007-04,8.125,
2007-07,8.997,
2007-10,8.304,
2008-01,8.048,
2008-04,7.739,
2008-07,7.461,
2008-10,10.314,
2009-01,10.948,
2009-04,9.223,
2009-07,11.274,
2009-10,11.991,
2010-01,15.616,
2010-04,14.962,
2010-07,13.420,
2010-10,15.916,
2011-01,14.630,
2011-04,14.641,
2011-07,13.371,
2011-10,12.634,
2012-01,11.728,
2012-04,11.048,
2012-07,10.007,
2012-10,10.461,
2013-01,9.765,
2013-04,9.001,
2013-07,8.136,
2013-10,8.475,
2014-01,8.215,
2014-04,8.351,
2014-07,7.851,
