"",BBDE1.M.DE.W.BAA1.A2P000000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P000000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Production sector including construction (B -F) / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:33,
1991-01,81.5,
1991-02,80.7,
1991-03,91.4,
1991-04,85.8,
1991-05,83.3,
1991-06,90.0,
1991-07,83.0,
1991-08,77.1,
1991-09,89.1,
1991-10,91.9,
1991-11,93.8,
1991-12,83.1,
1992-01,80.6,
1992-02,82.9,
1992-03,91.7,
1992-04,86.6,
1992-05,84.4,
1992-06,87.1,
1992-07,81.1,
1992-08,76.8,
1992-09,88.5,
1992-10,89.3,
1992-11,88.9,
1992-12,78.3,
1993-01,74.0,
1993-02,74.2,
1993-03,84.0,
1993-04,78.9,
1993-05,77.5,
1993-06,80.9,
1993-07,75.0,
1993-08,73.3,
1993-09,84.4,
1993-10,85.4,
1993-11,85.5,
1993-12,76.6,
1994-01,73.4,
1994-02,75.2,
1994-03,85.5,
1994-04,81.4,
1994-05,80.1,
1994-06,84.2,
1994-07,79.7,
1994-08,75.0,
1994-09,87.6,
1994-10,90.0,
1994-11,91.2,
1994-12,81.1,
1995-01,74.9,
1995-02,78.8,
1995-03,87.7,
1995-04,83.3,
1995-05,82.7,
1995-06,85.5,
1995-07,81.7,
1995-08,75.4,
1995-09,88.4,
1995-10,86.9,
1995-11,88.5,
1995-12,78.2,
1996-01,73.6,
1996-02,74.1,
1996-03,85.5,
1996-04,81.6,
1996-05,81.4,
1996-06,85.2,
1996-07,81.3,
1996-08,76.6,
1996-09,88.8,
1996-10,88.1,
1996-11,89.7,
1996-12,80.2,
1997-01,73.9,
1997-02,77.4,
1997-03,88.4,
1997-04,83.4,
1997-05,81.3,
1997-06,87.6,
1997-07,85.6,
1997-08,76.9,
1997-09,89.2,
1997-10,90.9,
1997-11,92.1,
1997-12,82.5,
1998-01,79.1,
1998-02,80.8,
1998-03,92.4,
1998-04,86.5,
1998-05,85.8,
1998-06,89.4,
1998-07,88.4,
1998-08,80.2,
1998-09,91.3,
1998-10,92.1,
1998-11,91.6,
1998-12,81.7,
1999-01,79.9,
1999-02,79.7,
1999-03,90.8,
1999-04,86.4,
1999-05,85.6,
1999-06,89.9,
1999-07,88.2,
1999-08,81.8,
1999-09,93.2,
1999-10,94.4,
1999-11,95.2,
1999-12,85.0,
2000-01,80.9,
2000-02,84.2,
2000-03,95.1,
2000-04,90.7,
2000-05,91.4,
2000-06,93.2,
2000-07,93.2,
2000-08,86.2,
2000-09,98.3,
2000-10,98.2,
2000-11,99.7,
2000-12,89.3,
2001-01,85.2,
2001-02,88.5,
2001-03,97.6,
2001-04,90.8,
2001-05,90.7,
2001-06,95.0,
2001-07,91.1,
2001-08,85.7,
2001-09,96.4,
2001-10,95.3,
2001-11,95.1,
2001-12,85.3,
2002-01,81.9,
2002-02,84.4,
2002-03,95.1,
2002-04,90.0,
2002-05,88.0,
2002-06,93.7,
2002-07,91.0,
2002-08,85.0,
2002-09,96.0,
2002-10,95.5,
2002-11,97.6,
2002-12,85.0,
2003-01,82.9,
2003-02,85.0,
2003-03,96.0,
2003-04,90.2,
2003-05,88.3,
2003-06,91.8,
2003-07,92.4,
2003-08,82.8,
2003-09,93.9,
2003-10,96.6,
2003-11,98.0,
2003-12,87.3,
2004-01,84.4,
2004-02,86.4,
2004-03,96.8,
2004-04,92.3,
2004-05,91.8,
2004-06,95.3,
2004-07,95.0,
2004-08,86.3,
2004-09,98.0,
2004-10,99.3,
2004-11,98.6,
2004-12,87.7,
2005-01,86.9,
