"",BBK01.OEAN06J,BBK01.OEAN06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:54,
2002-01,0.859,
2002-04,0.831,
2002-07,0.827,
2002-10,0.811,
2003-01,0.750,
2003-04,0.697,
2003-07,0.632,
2003-10,0.578,
2004-01,0.537,
2004-04,0.502,
2004-07,0.536,
2004-10,0.474,
2005-01,0.459,
2005-04,0.446,
2005-07,0.435,
2005-10,0.462,
2006-01,0.463,
2006-04,0.506,
2006-07,0.563,
2006-10,0.668,
2007-01,0.819,
2007-04,0.971,
2007-07,1.069,
2007-10,1.160,
2008-01,1.181,
2008-04,1.157,
2008-07,1.156,
2008-10,1.284,
2009-01,1.206,
2009-04,1.158,
2009-07,1.140,
2009-10,0.939,
2010-01,0.817,
2010-04,0.797,
2010-07,0.725,
2010-10,0.709,
2011-01,0.740,
2011-04,0.744,
2011-07,0.733,
2011-10,0.708,
2012-01,0.672,
2012-04,0.637,
2012-07,0.565,
2012-10,0.464,
2013-01,0.369,
2013-04,0.322,
2013-07,0.308,
2013-10,0.307,
2014-01,0.317,
2014-04,0.351,
2014-07,0.384,
