"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.NL.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.NL.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Netherlands,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:54,
2009-09,10493,
2009-10,10277,
2009-11,10081,
2009-12,10660,
2010-01,10746,
2010-02,10910,
2010-03,11370,
2010-04,11747,
2010-05,11764,
2010-06,12035,
2010-07,12185,
2010-08,12042,
2010-09,11991,
2010-10,12033,
2010-11,11897,
2010-12,12370,
2011-01,12590,
2011-02,12256,
2011-03,12077,
2011-04,11919,
2011-05,11919,
2011-06,11843,
2011-07,11604,
2011-08,10974,
2011-09,10569,
2011-10,10530,
2011-11,10362,
2011-12,10456,
2012-01,10542,
2012-02,10635,
2012-03,10378,
2012-04,10377,
2012-05,10363,
2012-06,10601,
2012-07,11311,
2012-08,11520,
2012-09,11455,
2012-10,11450,
2012-11,11480,
2012-12,11740,
2013-01,11822,
2013-02,11998,
2013-03,12375,
2013-04,12441,
2013-05,13158,
2013-06,13068,
2013-07,13649,
2013-08,12904,
2013-09,13008,
2013-10,13205,
2013-11,13145,
2013-12,13140,
2014-01,12916,
2014-02,13221,
2014-03,13361,
2014-04,13279,
2014-05,13470,
2014-06,13407,
2014-07,12939,
2014-08,13115,
2014-09,13110,
2014-10,12897,
2014-11,13251,
