"",BBK01.OUL252,BBK01.OUL252_FLAGS
"",Bearer debt securities outstanding / with a maturity of up to and including 2 years / Credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:07:58,
1986-05,0.003,
1986-06,0.011,
1986-07,0.007,
1986-08,0.008,
1986-09,0.004,
1986-10,0.004,
1986-11,0.003,
1986-12,0.003,
1987-01,0.003,
1987-02,0.003,
1987-03,0.004,
1987-04,0.002,
1987-05,0.002,
1987-06,0.002,
1987-07,0.002,
1987-08,0.002,
1987-09,0.002,
1987-10,0.001,
1987-11,0.001,
1987-12,0.002,
1988-01,0.003,
1988-02,0.001,
1988-03,0.001,
1988-04,0.001,
1988-05,0.002,
1988-06,0.002,
1988-07,0.002,
1988-08,0.002,
1988-09,0.003,
1988-10,0.002,
1988-11,0.003,
1988-12,0.003,
1989-01,0.002,
1989-02,0.003,
1989-03,0.002,
1989-04,0.002,
1989-05,0.002,
1989-06,0.001,
1989-07,0.001,
1989-08,0.002,
1989-09,0.001,
1989-10,0.001,
1989-11,0.001,
1989-12,0.001,
1990-01,0.001,
1990-02,0.001,
1990-03,0.001,
1990-04,0.001,
1990-05,0.001,
1990-06,0.001,
1990-07,0.003,
1990-08,0.002,
1990-09,0.002,
1990-10,0.003,
1990-11,0.003,
1990-12,0.002,
1991-01,0.003,
1991-02,0.004,
1991-03,0.005,
1991-04,0.006,
1991-05,0.006,
1991-06,0.007,
1991-07,0.007,
1991-08,0.007,
1991-09,0.008,
1991-10,0.008,
1991-11,0.008,
1991-12,0.008,
1992-01,0.009,
1992-02,0.009,
1992-03,0.009,
1992-04,0.009,
1992-05,0.010,
1992-06,0.007,
1992-07,0.008,
1992-08,0.008,
1992-09,0.009,
1992-10,0.009,
1992-11,0.008,
1992-12,0.007,
1993-01,0.009,
1993-02,0.011,
1993-03,0.014,
1993-04,0.011,
1993-05,0.016,
1993-06,0.028,
1993-07,0.028,
1993-08,0.032,
1993-09,0.039,
1993-10,0.024,
1993-11,0.025,
1993-12,0.226,
1994-01,0.155,
1994-02,0.171,
1994-03,0.170,
1994-04,0.163,
1994-05,0.158,
1994-06,0.169,
1994-07,0.175,
1994-08,0.163,
1994-09,0.155,
1994-10,0.155,
1994-11,0.140,
1994-12,0.145,
1995-01,0.135,
1995-02,0.150,
1995-03,0.152,
1995-04,0.160,
1995-05,0.151,
1995-06,0.152,
1995-07,0.141,
1995-08,0.138,
1995-09,0.130,
1995-10,0.125,
1995-11,0.133,
1995-12,0.115,
1996-01,0.125,
1996-02,0.137,
1996-03,0.122,
1996-04,0.124,
1996-05,0.129,
1996-06,0.114,
1996-07,0.099,
1996-08,0.101,
1996-09,0.090,
1996-10,0.094,
1996-11,0.100,
1996-12,0.100,
1997-01,0.096,
1997-02,0.083,
1997-03,0.073,
1997-04,0.071,
1997-05,0.072,
1997-06,0.077,
1997-07,0.074,
1997-08,0.079,
1997-09,0.081,
1997-10,0.086,
1997-11,0.084,
1997-12,0.086,
1998-01,0.095,
1998-02,0.103,
1998-03,0.116,
1998-04,0.114,
1998-05,0.102,
1998-06,0.096,
1998-07,0.100,
1998-08,0.101,
1998-09,0.097,
1998-10,0.101,
1998-11,0.102,
1998-12,0.113,
1999-01,0.902,
1999-02,0.977,
1999-03,0.976,
1999-04,1.073,
1999-05,1.158,
1999-06,1.180,
1999-07,1.332,
1999-08,1.248,
1999-09,1.898,
1999-10,1.971,
1999-11,2.018,
1999-12,2.091,
2000-01,2.138,
2000-02,2.167,
2000-03,2.244,
2000-04,2.286,
2000-05,2.310,
2000-06,2.357,
2000-07,2.419,
2000-08,2.460,
2000-09,2.455,
2000-10,2.540,
2000-11,2.616,
2000-12,2.604,
2001-01,2.594,
2001-02,2.666,
2001-03,2.941,
2001-04,2.741,
2001-05,2.715,
