"",BBK01.BJ9065,BBK01.BJ9065_FLAGS
"",General government debt as defined in the Maastricht Treaty - Germany - central government,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:16,
1991,362059,
1992,424221,
1993,475356,
1994,526147,
1995,671230,
1996,713736,
1997,740790,
1998,768528,
1999,797958,
2000,798220,
2001,782030,
2002,804073,
2003,851612,
2004,893026,
2005,938841,
2006,974244,
2007,981274,
2008,1010798,
2009,1079693,
2010,1318428,Provisional value
2011,1327368,Provisional value
2012,1372336,Provisional value
2013,1376073,Provisional value
