"",BBK01.OEAE16V,BBK01.OEAE16V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:39,
2002-01,0.103,
2002-04,0.106,
2002-07,0.102,
2002-10,0.120,
2003-01,0.111,
2003-04,0.113,
2003-07,0.111,
2003-10,0.135,
2004-01,0.109,
2004-04,0.118,
2004-07,0.107,
2004-10,0.133,
2005-01,0.113,
2005-04,0.119,
2005-07,0.113,
2005-10,0.116,
2006-01,0.098,
2006-04,0.102,
2006-07,0.095,
2006-10,0.104,
2007-01,0.093,
2007-04,0.089,
2007-07,0.081,
2007-10,0.097,
2008-01,0.094,
2008-04,0.095,
2008-07,0.083,
2008-10,0.091,
2009-01,0.092,
2009-04,0.098,
2009-07,0.101,
2009-10,0.097,
2010-01,0.115,
2010-04,0.098,
2010-07,0.096,
2010-10,0.108,
2011-01,0.101,
2011-04,0.110,
2011-07,0.109,
2011-10,0.118,
2012-01,0.114,
2012-04,0.163,
2012-07,0.158,
2012-10,0.133,
2013-01,0.133,
2013-04,0.131,
2013-07,0.109,
2013-10,0.132,
2014-01,0.116,
2014-04,0.123,
2014-07,0.118,
