"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.U3.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.U3.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / EU member states not belonging to the Euro area / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:14,
2009-09,1928,
2009-10,1942,
2009-11,1973,
2009-12,1991,
2010-01,1996,
2010-02,1983,
2010-03,2044,
2010-04,2003,
2010-05,1859,
2010-06,1846,
2010-07,1870,
2010-08,1904,
2010-09,2026,
2010-10,1834,
2010-11,1807,
2010-12,1818,
2011-01,1726,
2011-02,1730,
2011-03,1740,
2011-04,1788,
2011-05,1824,
2011-06,1811,
2011-07,1810,
2011-08,1769,
2011-09,1812,
2011-10,1850,
2011-11,1804,
2011-12,1849,
2012-01,1824,
2012-02,1902,
2012-03,1887,
2012-04,1897,
2012-05,1918,
2012-06,2006,
2012-07,2073,
2012-08,2070,
2012-09,2078,
2012-10,2075,
2012-11,2063,
2012-12,2086,
2013-01,2064,
2013-02,2056,
2013-03,2161,
2013-04,2191,
2013-05,2057,
2013-06,1895,
2013-07,2054,
2013-08,2025,
2013-09,2043,
2013-10,1963,
2013-11,1944,
2013-12,1965,
2014-01,1996,
2014-02,2005,
2014-03,1972,
2014-04,1972,
2014-05,1984,
2014-06,1970,
2014-07,1937,
2014-08,1918,
2014-09,1968,
2014-10,2088,
2014-11,2288,
