"",BBK01.OEXO04S,BBK01.OEXO04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:33,
2002-01,-0.034,
2002-04,-0.026,
2002-07,-0.007,
2002-10,-0.008,
2003-01,-0.029,
2003-04,-0.022,
2003-07,-0.017,
2003-10,-0.012,
2004-01,-0.030,
2004-04,-0.022,
2004-07,-0.022,
2004-10,0.001,
2005-01,0.021,
2005-04,-0.011,
2005-07,-0.029,
2005-10,0.005,
2006-01,0.017,
2006-04,0.006,
2006-07,-0.003,
2006-10,0.019,
2007-01,0.106,
2007-04,0.041,
2007-07,0.045,
2007-10,0.069,
2008-01,0.042,
2008-04,0.015,
2008-07,0.024,
2008-10,0.109,
2009-01,-0.053,
2009-04,-0.050,
2009-07,-0.018,
2009-10,-0.089,
2010-01,-0.066,
2010-04,-0.027,
2010-07,-0.010,
2010-10,0.065,
2011-01,0.059,
2011-04,-0.007,
2011-07,-0.002,
2011-10,-0.016,
2012-01,-0.038,
2012-04,-0.001,
2012-07,-0.017,
2012-10,-0.037,
2013-01,-0.055,
2013-04,-0.041,
2013-07,-0.006,
2013-10,-0.011,
2014-01,-0.010,
2014-04,-0.024,
2014-07,0.046,
