"",BBK01.OELI10N,BBK01.OELI10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:24,
2002-01,0.335,
2002-04,0.343,
2002-07,0.350,
2002-10,0.364,
2003-01,0.373,
2003-04,0.385,
2003-07,0.394,
2003-10,0.405,
2004-01,0.412,
2004-04,0.421,
2004-07,0.433,
2004-10,0.443,
2005-01,0.450,
2005-04,0.457,
2005-07,0.464,
2005-10,0.469,
2006-01,0.470,
2006-04,0.473,
2006-07,0.492,
2006-10,0.500,
2007-01,0.503,
2007-04,0.503,
2007-07,0.502,
2007-10,0.498,
2008-01,0.493,
2008-04,0.489,
2008-07,0.484,
2008-10,0.481,
2009-01,0.484,
2009-04,0.484,
2009-07,0.479,
2009-10,0.480,
2010-01,0.473,
2010-04,0.468,
2010-07,0.462,
2010-10,0.457,
2011-01,0.450,
2011-04,0.441,
2011-07,0.429,
2011-10,0.424,
2012-01,0.415,
2012-04,0.408,
2012-07,0.397,
2012-10,0.388,
2013-01,0.378,
2013-04,0.371,
2013-07,0.361,
2013-10,0.352,
2014-01,0.341,
2014-04,0.321,
2014-07,0.312,
