"",BBK01.OECB24G,BBK01.OECB24G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:52,
2002-01,0.267,
2002-04,0.295,
2002-07,0.301,
2002-10,0.324,
2003-01,0.326,
2003-04,0.331,
2003-07,0.356,
2003-10,0.388,
2004-01,0.403,
2004-04,0.417,
2004-07,0.424,
2004-10,0.466,
2005-01,0.883,
2005-04,0.868,
2005-07,0.880,
2005-10,0.794,
2006-01,0.788,
2006-04,0.704,
2006-07,0.649,
2006-10,0.661,
2007-01,0.672,
2007-04,0.593,
2007-07,0.604,
2007-10,0.593,
2008-01,0.577,
2008-04,0.558,
2008-07,0.537,
2008-10,0.521,
2009-01,0.529,
2009-04,1.155,
2009-07,1.142,
2009-10,0.935,
2010-01,0.952,
2010-04,0.918,
2010-07,0.898,
2010-10,0.924,
2011-01,0.596,
2011-04,0.436,
2011-07,0.450,
2011-10,0.432,
2012-01,0.428,
2012-04,0.421,
2012-07,0.408,
2012-10,0.434,
2013-01,0.437,
2013-04,0.479,
2013-07,0.827,
2013-10,0.804,
2014-01,0.793,
2014-04,0.782,
2014-07,0.764,
