"",BBK01.OEXB21I,BBK01.OEXB21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:16,
2002-01,0.931,
2002-04,0.603,
2002-07,0.588,
2002-10,0.638,
2003-01,0.560,
2003-04,0.501,
2003-07,1.316,
2003-10,0.605,
2004-01,1.545,
2004-04,0.532,
2004-07,0.694,
2004-10,0.611,
2005-01,0.683,
2005-04,0.715,
2005-07,0.692,
2005-10,0.628,
2006-01,0.609,
2006-04,0.685,
2006-07,0.629,
2006-10,0.641,
2007-01,0.614,
2007-04,0.648,
2007-07,0.715,
2007-10,0.691,
2008-01,0.638,
2008-04,0.704,
2008-07,0.741,
2008-10,0.648,
2009-01,0.643,
2009-04,0.687,
2009-07,0.746,
2009-10,0.854,
2010-01,1.082,
2010-04,1.161,
2010-07,1.159,
2010-10,1.188,
2011-01,1.151,
2011-04,1.077,
2011-07,1.015,
2011-10,1.110,
2012-01,1.078,
2012-04,1.128,
2012-07,1.367,
2012-10,1.521,
2013-01,2.189,
2013-04,2.109,
2013-07,2.224,
2013-10,2.516,
2014-01,2.874,
2014-04,2.738,
2014-07,2.747,
