"",BBK01.OEAD27H,BBK01.OEAD27H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:52,
2002-01,0.430,
2002-04,0.408,
2002-07,0.424,
2002-10,0.433,
2003-01,0.451,
2003-04,0.447,
2003-07,0.505,
2003-10,0.468,
2004-01,0.440,
2004-04,0.445,
2004-07,0.409,
2004-10,0.420,
2005-01,0.407,
2005-04,0.376,
2005-07,0.323,
2005-10,0.261,
2006-01,0.259,
2006-04,0.254,
2006-07,0.294,
2006-10,0.250,
2007-01,0.259,
2007-04,0.262,
2007-07,0.259,
2007-10,0.281,
2008-01,0.297,
2008-04,0.305,
2008-07,0.323,
2008-10,0.287,
2009-01,0.225,
2009-04,0.181,
2009-07,0.183,
2009-10,0.185,
2010-01,0.208,
2010-04,0.239,
2010-07,0.273,
2010-10,0.276,
2011-01,0.290,
2011-04,0.269,
2011-07,0.412,
2011-10,0.392,
2012-01,0.422,
2012-04,0.424,
2012-07,0.408,
2012-10,0.418,
2013-01,0.413,
2013-04,0.403,
2013-07,0.421,
2013-10,0.428,
2014-01,0.410,
2014-04,0.404,
2014-07,0.392,
