"",BBK01.OEXI08M,BBK01.OEXI08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:15,
2002-01,2.317,
2002-04,2.279,
2002-07,2.243,
2002-10,2.381,
2003-01,2.527,
2003-04,2.597,
2003-07,2.603,
2003-10,2.651,
2004-01,2.613,
2004-04,2.601,
2004-07,2.548,
2004-10,2.359,
2005-01,2.332,
2005-04,2.308,
2005-07,2.284,
2005-10,2.330,
2006-01,2.290,
2006-04,2.233,
2006-07,2.139,
2006-10,2.107,
2007-01,2.010,
2007-04,1.979,
2007-07,1.940,
2007-10,1.980,
2008-01,1.988,
2008-04,1.957,
2008-07,1.775,
2008-10,1.882,
2009-01,1.945,
2009-04,1.974,
2009-07,1.925,
2009-10,2.232,
2010-01,2.194,
2010-04,2.145,
2010-07,2.153,
2010-10,2.195,
2011-01,2.351,
2011-04,2.457,
2011-07,2.443,
2011-10,2.504,
2012-01,2.724,
2012-04,2.753,
2012-07,2.823,
2012-10,3.064,
2013-01,3.125,
2013-04,3.133,
2013-07,3.148,
2013-10,3.206,
2014-01,3.201,
2014-04,3.186,
2014-07,3.175,
