"",BBDP1.M.DE.Y.VPI.C.A00000.I10.A,BBDP1.M.DE.Y.VPI.C.A00000.I10.A_FLAGS
"",Consumer price index / Germany / Calendar and seasonally adjusted / Total,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 16:44:56,
1991-01,68.6,
1991-02,68.7,
1991-03,68.7,
1991-04,69.1,
1991-05,69.2,
1991-06,69.7,
1991-07,70.3,
1991-08,70.6,
1991-09,70.7,
1991-10,72.0,
1991-11,72.3,
1991-12,72.3,
1992-01,72.5,
1992-02,72.7,
1992-03,73.0,
1992-04,73.4,
1992-05,73.6,
1992-06,73.8,
1992-07,73.9,
1992-08,74.0,
1992-09,74.1,
1992-10,74.5,
1992-11,74.7,
1992-12,74.7,
1993-01,75.8,
1993-02,76.2,
1993-03,76.3,
1993-04,76.7,
1993-05,76.7,
1993-06,77.1,
1993-07,77.2,
1993-08,77.4,
1993-09,77.4,
1993-10,77.7,
1993-11,77.8,
1993-12,77.8,
1994-01,78.3,
1994-02,78.4,
1994-03,78.6,
1994-04,78.8,
1994-05,78.9,
1994-06,79.1,
1994-07,79.3,
1994-08,79.6,
1994-09,79.6,
1994-10,79.6,
1994-11,79.7,
1994-12,79.7,
1995-01,79.8,
1995-02,80.1,
1995-03,80.2,
1995-04,80.2,
1995-05,80.4,
1995-06,80.5,
1995-07,80.5,
1995-08,80.7,
1995-09,80.8,
1995-10,80.8,
1995-11,80.9,
1995-12,80.9,
1996-01,80.9,
1996-02,81.1,
1996-03,81.3,
1996-04,81.5,
1996-05,81.6,
1996-06,81.7,
1996-07,81.7,
1996-08,81.8,
1996-09,81.9,
1996-10,82.1,
1996-11,82.1,
1996-12,82.1,
1997-01,82.6,
1997-02,82.7,
1997-03,82.6,
1997-04,82.6,
1997-05,82.9,
1997-06,83.0,
1997-07,83.3,
1997-08,83.6,
1997-09,83.6,
1997-10,83.7,
1997-11,83.8,
1997-12,83.9,
1998-01,83.5,
1998-02,83.6,
1998-03,83.6,
1998-04,83.7,
1998-05,84.1,
1998-06,84.1,
1998-07,84.2,
1998-08,84.2,
1998-09,84.2,
1998-10,84.3,
1998-11,84.3,
1998-12,84.3,
1999-01,83.7,
1999-02,83.7,
1999-03,84.0,
1999-04,84.5,
1999-05,84.4,
1999-06,84.4,
1999-07,84.6,
1999-08,84.6,
1999-09,84.5,
1999-10,84.7,
1999-11,84.9,
1999-12,85.0,
2000-01,85.1,
2000-02,85.2,
2000-03,85.4,
2000-04,85.3,
2000-05,85.3,
2000-06,85.6,
2000-07,85.6,
2000-08,85.6,
2000-09,86.0,
2000-10,86.2,
2000-11,86.3,
2000-12,86.5,
2001-01,86.3,
2001-02,86.8,
2001-03,86.8,
2001-04,87.1,
2001-05,87.6,
2001-06,87.7,
2001-07,87.6,
2001-08,87.7,
2001-09,87.8,
2001-10,87.8,
2001-11,87.7,
2001-12,87.9,
2002-01,88.1,
2002-02,88.3,
2002-03,88.5,
2002-04,88.6,
2002-05,88.5,
2002-06,88.5,
2002-07,88.7,
2002-08,88.7,
2002-09,88.7,
2002-10,88.8,
2002-11,88.6,
2002-12,88.8,
2003-01,89.2,
2003-02,89.3,
2003-03,89.6,
2003-04,89.3,
2003-05,89.2,
2003-06,89.4,
2003-07,89.4,
2003-08,89.6,
2003-09,89.6,
2003-10,89.9,
2003-11,89.7,
2003-12,89.7,
2004-01,90.3,
2004-02,90.3,
2004-03,90.5,
2004-04,90.8,
2004-05,91.0,
2004-06,91.0,
2004-07,91.1,
2004-08,91.4,
2004-09,91.4,
2004-10,91.6,
2004-11,91.4,
2004-12,91.7,
2005-01,91.6,
2005-02,91.7,
2005-03,92.0,
2005-04,92.0,
2005-05,92.0,
2005-06,92.2,
2005-07,92.4,
2005-08,92.7,
2005-09,92.9,
2005-10,93.1,
2005-11,92.9,
2005-12,93.0,
2006-01,93.2,
2006-02,93.4,
2006-03,93.3,
2006-04,93.7,
2006-05,93.8,
2006-06,93.9,
2006-07,94.0,
2006-08,94.1,
2006-09,93.9,
2006-10,94.1,
2006-11,94.2,
2006-12,94.4,
2007-01,94.9,
2007-02,95.1,
2007-03,95.2,
2007-04,95.5,
2007-05,95.6,
2007-06,95.7,
2007-07,96.0,
2007-08,96.0,
2007-09,96.4,
2007-10,96.7,
2007-11,97.4,
2007-12,97.4,
2008-01,97.7,
2008-02,97.8,
2008-03,98.0,
2008-04,98.0,
2008-05,98.5,
2008-06,98.9,
2008-07,99.1,
2008-08,99.0,
2008-09,99.1,
2008-10,99.0,
2008-11,98.7,
2008-12,98.5,
2009-01,98.6,
2009-02,98.8,
2009-03,98.5,
2009-04,98.5,
2009-05,98.6,
2009-06,99.0,
2009-07,98.7,
2009-08,99.0,
2009-09,98.9,
2009-10,99.0,
2009-11,99.1,
2009-12,99.3,
2010-01,99.4,
2010-02,99.4,
2010-03,99.7,
2010-04,100.0,
2010-05,100.0,
2010-06,100.0,
2010-07,99.9,
2010-08,100.0,
2010-09,100.1,
2010-10,100.3,
2010-11,100.4,
2010-12,100.7,
2011-01,101.1,
2011-02,101.2,
2011-03,101.6,
2011-04,102.0,
2011-05,102.1,
2011-06,102.0,
2011-07,102.1,
2011-08,102.2,
2011-09,102.5,
2011-10,102.6,
2011-11,102.8,
2011-12,102.7,
2012-01,103.1,
2012-02,103.5,
2012-03,103.9,
2012-04,103.9,
2012-05,103.9,
2012-06,103.8,
2012-07,104.0,
2012-08,104.3,
2012-09,104.6,
2012-10,104.7,
2012-11,104.7,
2012-12,104.7,
2013-01,104.9,
2013-02,105.1,
2013-03,105.2,
2013-04,105.4,
2013-05,105.7,
2013-06,105.8,
2013-07,106.0,
2013-08,106.0,
2013-09,106.1,
2013-10,105.9,
2013-11,106.1,
2013-12,106.1,
2014-01,106.3,
2014-02,106.4,
2014-03,106.4,
2014-04,106.6,
2014-05,106.5,
2014-06,106.6,
2014-07,106.8,
2014-08,106.9,
2014-09,107.0,
2014-10,106.8,
2014-11,106.7,
2014-12,106.3,
2015-01,105.9,
2015-02,106.5,Estimated value
