"",BBK01.OEXL02G,BBK01.OEXL02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:53,
2002-01,14.534,
2002-04,15.088,
2002-07,14.614,
2002-10,16.257,
2003-01,17.678,
2003-04,18.892,
2003-07,19.316,
2003-10,20.003,
2004-01,20.342,
2004-04,20.592,
2004-07,20.538,
2004-10,21.432,
2005-01,6.803,
2005-04,6.929,
2005-07,6.624,
2005-10,6.500,
2006-01,6.489,
2006-04,6.645,
2006-07,6.234,
2006-10,6.184,
2007-01,6.406,
2007-04,6.589,
2007-07,6.485,
2007-10,6.194,
2008-01,6.457,
2008-04,6.406,
2008-07,6.284,
2008-10,6.310,
2009-01,7.590,
2009-04,8.488,
2009-07,7.965,
2009-10,8.180,
2010-01,9.220,
2010-04,9.229,
2010-07,9.161,
2010-10,9.135,
2011-01,9.068,
2011-04,9.297,
2011-07,9.149,
2011-10,8.943,
2012-01,8.913,
2012-04,9.103,
2012-07,9.568,
2012-10,9.551,
2013-01,9.681,
2013-04,10.339,
2013-07,10.688,
2013-10,10.828,
2014-01,10.938,
2014-04,11.176,
2014-07,11.230,
