"",BBK01.OEAE08I,BBK01.OEAE08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:20,
2002-01,1.212,
2002-04,1.239,
2002-07,1.157,
2002-10,1.183,
2003-01,1.108,
2003-04,1.036,
2003-07,1.021,
2003-10,0.939,
2004-01,0.911,
2004-04,0.821,
2004-07,0.822,
2004-10,0.821,
2005-01,0.766,
2005-04,0.737,
2005-07,0.755,
2005-10,0.801,
2006-01,0.877,
2006-04,0.810,
2006-07,0.793,
2006-10,0.699,
2007-01,0.583,
2007-04,0.552,
2007-07,0.532,
2007-10,0.590,
2008-01,0.490,
2008-04,0.511,
2008-07,0.591,
2008-10,0.431,
2009-01,0.404,
2009-04,0.386,
2009-07,0.400,
2009-10,0.135,
2010-01,0.142,
2010-04,0.149,
2010-07,0.143,
2010-10,0.136,
2011-01,0.128,
2011-04,0.131,
2011-07,0.134,
2011-10,0.138,
2012-01,0.133,
2012-04,0.121,
2012-07,0.116,
2012-10,0.116,
2013-01,0.114,
2013-04,0.110,
2013-07,0.103,
2013-10,0.099,
2014-01,0.099,
2014-04,0.102,
2014-07,0.103,
