"",BBK01.OEAH79H,BBK01.OEAH79H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:12,
2002-01,0.064,
2002-04,0.095,
2002-07,0.090,
2002-10,0.090,
2003-01,0.087,
2003-04,0.069,
2003-07,0.069,
2003-10,0.069,
2004-01,0.065,
2004-04,0.063,
2004-07,0.092,
2004-10,0.090,
2005-01,0.090,
2005-04,0.105,
2005-07,0.088,
2005-10,0.090,
2006-01,0.109,
2006-04,0.117,
2006-07,0.118,
2006-10,0.129,
2007-01,0.145,
2007-04,0.152,
2007-07,0.167,
2007-10,0.183,
2008-01,0.165,
2008-04,0.182,
2008-07,0.204,
2008-10,0.211,
2009-01,0.206,
2009-04,0.192,
2009-07,0.180,
2009-10,0.158,
2010-01,0.148,
2010-04,0.143,
2010-07,0.142,
2010-10,0.142,
2011-01,0.167,
2011-04,0.184,
2011-07,0.171,
2011-10,0.172,
2012-01,0.160,
2012-04,0.149,
2012-07,0.139,
2012-10,0.126,
2013-01,0.098,
2013-04,0.067,
2013-07,0.046,
2013-10,0.034,
2014-01,0.029,
2014-04,0.041,
2014-07,0.048,
