"",BBFB1.Q.N.DE.B2.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:30,
1991-01,52110.050,
1991-04,51854.724,
1991-07,50100.646,
1991-10,53465.466,
1992-01,55122.759,
1992-04,52342.524,
1992-07,51155.680,
1992-10,51445.989,
1993-01,46634.757,
1993-04,45556.178,
1993-07,42646.513,
1993-10,45688.924,
1994-01,47450.078,
1994-04,50271.908,
1994-07,47728.482,
1994-10,51421.058,
1995-01,54223.690,
1995-04,55579.080,
1995-07,52265.697,
1995-10,55322.485,
1996-01,56858.152,
1996-04,54949.358,
1996-07,52895.182,
1996-10,58210.157,
1997-01,57443.282,
1997-04,60884.269,
1997-07,59195.256,
1997-10,64630.064,
1998-01,65080.362,
1998-04,67799.250,
1998-07,62471.680,
1998-10,67454.478,
1999-01,66565.240,
1999-04,70470.515,
1999-07,68043.090,
1999-10,75134.629,
2000-01,79205.420,
2000-04,79954.196,
2000-07,76320.007,
2000-10,88522.089,
2001-01,86626.490,
2001-04,85117.430,
2001-07,80972.061,
2001-10,84232.882,
2002-01,81992.826,
2002-04,86657.668,
2002-07,83572.924,
2002-10,89096.578,
2003-01,87882.523,
2003-04,84608.169,
2003-07,84809.491,
2003-10,92946.136,
2004-01,93381.405,
2004-04,96359.228,
2004-07,93635.763,
2004-10,99270.003,
2005-01,97544.480,
2005-04,102841.660,
2005-07,98540.634,
2005-10,106187.799,
2006-01,111406.162,
2006-04,111504.411,
2006-07,107222.998,
2006-10,116065.458,
2007-01,124274.997,
2007-04,124584.945,
2007-07,120054.421,
2007-10,126884.458,
2008-01,127095.023,
2008-04,128608.813,
2008-07,119930.198,
2008-10,109544.860,
2009-01,99308.373,
2009-04,93781.910,
2009-07,96055.394,
2009-10,101962.484,
2010-01,104867.093,
2010-04,110614.203,
2010-07,108792.466,
2010-10,117125.278,
2011-01,124507.690,
2011-04,123436.259,
2011-07,117653.874,
2011-10,118495.031,
2012-01,126826.721,
2012-04,121590.161,
2012-07,116610.558,
2012-10,117428.103,
2013-01,123738.948,
2013-04,122462.431,
2013-07,118746.077,
2013-10,121700.809,
2014-01,128615.285,Provisional value
2014-04,125910.542,Provisional value
2014-07,125770.014,Provisional value
