"",BBK01.OELJ01G,BBK01.OELJ01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:15,
2002-01,8.501,
2002-04,8.651,
2002-07,8.798,
2002-10,8.794,
2003-01,8.511,
2003-04,8.535,
2003-07,8.599,
2003-10,8.966,
2004-01,8.814,
2004-04,9.070,
2004-07,9.225,
2004-10,9.313,
2005-01,8.811,
2005-04,9.378,
2005-07,9.570,
2005-10,10.073,
2006-01,9.586,
2006-04,10.133,
2006-07,10.230,
2006-10,10.732,
2007-01,10.600,
2007-04,10.987,
2007-07,11.277,
2007-10,11.339,
2008-01,11.402,
2008-04,11.557,
2008-07,12.001,
2008-10,11.852,
2009-01,11.636,
2009-04,11.886,
2009-07,12.456,
2009-10,13.011,
2010-01,12.862,
2010-04,13.161,
2010-07,13.923,
2010-10,14.280,
2011-01,14.135,
2011-04,14.317,
2011-07,14.960,
2011-10,14.907,
2012-01,14.679,
2012-04,14.805,
2012-07,15.351,
2012-10,15.382,
2013-01,15.476,
2013-04,15.940,
2013-07,16.479,
2013-10,16.420,
2014-01,16.542,
2014-04,17.099,
2014-07,17.407,
