"",BBK01.OEAG04K,BBK01.OEAG04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:20,
2002-01,10.910,
2002-04,10.864,
2002-07,10.991,
2002-10,10.710,
2003-01,10.636,
2003-04,10.659,
2003-07,10.686,
2003-10,10.850,
2004-01,10.779,
2004-04,10.797,
2004-07,10.974,
2004-10,11.487,
2005-01,11.537,
2005-04,11.537,
2005-07,11.528,
2005-10,11.672,
2006-01,11.688,
2006-04,11.709,
2006-07,11.712,
2006-10,12.104,
2007-01,11.906,
2007-04,11.722,
2007-07,11.562,
2007-10,11.348,
2008-01,11.011,
2008-04,10.860,
2008-07,10.745,
2008-10,11.177,
2009-01,11.742,
2009-04,11.356,
2009-07,11.552,
2009-10,11.458,
2010-01,11.518,
2010-04,11.514,
2010-07,9.469,
2010-10,9.402,
2011-01,8.826,
2011-04,8.676,
2011-07,8.670,
2011-10,8.386,
2012-01,8.228,
2012-04,8.074,
2012-07,7.929,
2012-10,7.883,
2013-01,7.793,
2013-04,7.601,
2013-07,7.685,
2013-10,7.392,
2014-01,7.451,
2014-04,7.247,
2014-07,7.174,
