"",BBK01.OEAK04J,BBK01.OEAK04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:24,
2002-01,0.287,
2002-04,0.279,
2002-07,0.294,
2002-10,0.327,
2003-01,0.281,
2003-04,0.273,
2003-07,0.255,
2003-10,0.246,
2004-01,0.250,
2004-04,0.251,
2004-07,0.252,
2004-10,0.235,
2005-01,0.240,
2005-04,0.216,
2005-07,0.185,
2005-10,0.186,
2006-01,0.191,
2006-04,0.196,
2006-07,0.189,
2006-10,0.225,
2007-01,0.222,
2007-04,0.233,
2007-07,0.294,
2007-10,0.351,
2008-01,0.371,
2008-04,0.370,
2008-07,0.435,
2008-10,0.531,
2009-01,0.364,
2009-04,0.300,
2009-07,0.220,
2009-10,0.191,
2010-01,0.173,
2010-04,0.163,
2010-07,0.174,
2010-10,0.155,
2011-01,0.165,
2011-04,0.170,
2011-07,0.182,
2011-10,0.141,
2012-01,0.154,
2012-04,0.132,
2012-07,0.120,
2012-10,0.089,
2013-01,0.085,
2013-04,0.079,
2013-07,0.082,
2013-10,0.085,
2014-01,0.083,
2014-04,0.081,
2014-07,0.076,
