"",BBK01.OEAA45I,BBK01.OEAA45I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:24,
2002-01,23.070,
2002-04,27.093,
2002-07,24.920,
2002-10,24.024,
2003-01,23.369,
2003-04,14.236,
2003-07,13.106,
2003-10,12.176,
2004-01,11.957,
2004-04,12.042,
2004-07,12.164,
2004-10,11.840,
2005-01,13.139,
2005-04,13.290,
2005-07,13.634,
2005-10,15.640,
2006-01,12.886,
2006-04,13.213,
2006-07,20.918,
2006-10,21.636,
2007-01,20.261,
2007-04,21.276,
2007-07,20.561,
2007-10,19.505,
2008-01,18.978,
2008-04,18.452,
2008-07,18.018,
2008-10,17.321,
2009-01,16.830,
2009-04,18.350,
2009-07,26.343,
2009-10,26.237,
2010-01,25.996,
2010-04,25.708,
2010-07,25.420,
2010-10,25.249,
2011-01,26.440,
2011-04,25.718,
2011-07,23.748,
2011-10,23.314,
2012-01,23.111,
2012-04,21.946,
2012-07,21.594,
2012-10,21.348,
2013-01,20.156,
2013-04,20.502,
2013-07,20.216,
2013-10,19.379,
2014-01,19.201,
2014-04,18.489,
2014-07,18.606,
