"",BBK01.CEH0QC,BBK01.CEH0QC_FLAGS
"",Acquisition of financial assets debtor: All sectors                    creditor: General government  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:01,
1991-01,-7.3,
1991-04,8.5,
1991-07,-3.1,
1991-10,9.5,
1992-01,0.7,
1992-04,0.4,
1992-07,1.1,
1992-10,12.0,
1993-01,0.2,
1993-04,13.9,
1993-07,-0.5,
1993-10,15.1,
1994-01,11.5,
1994-04,-0.4,
1994-07,-8.7,
1994-10,13.4,
1995-01,-22.5,
1995-04,6.4,
1995-07,-13.5,
1995-10,21.6,
1996-01,-8.7,
1996-04,-3.3,
1996-07,-0.7,
1996-10,11.6,
1997-01,-3.8,
1997-04,2.6,
1997-07,-7.1,
1997-10,3.4,
1998-01,-2.1,
1998-04,0.5,
1998-07,-10.3,
1998-10,-0.4,
1999-01,-6.5,
1999-04,5.9,
1999-07,-4.5,
1999-10,12.8,
2000-01,-1.4,
2000-04,9.3,
2000-07,49.4,
2000-10,-20.2,
2001-01,-31.0,
2001-04,-4.6,
2001-07,-5.4,
2001-10,-8.3,
2002-01,-3.9,
2002-04,-8.1,
2002-07,-2.8,
2002-10,-9.2,
2003-01,6.5,
2003-04,2.1,
2003-07,-8.7,
2003-10,1.3,
2004-01,13.3,
2004-04,-5.5,
2004-07,-6.9,
2004-10,-13.0,
2005-01,0.4,
2005-04,-0.3,
2005-07,-1.6,
2005-10,-4.5,
2006-01,-0.4,
2006-04,10.6,
2006-07,4.4,
2006-10,-3.7,
2007-01,-0.7,
2007-04,31.3,
2007-07,-24.0,
2007-10,10.1,
2008-01,15.7,
2008-04,47.1,
2008-07,-7.3,
2008-10,13.7,
2009-01,18.8,
2009-04,57.3,
2009-07,-24.0,
2009-10,-15.6,
2010-01,-9.4,
2010-04,34.2,
2010-07,-31.8,
2010-10,188.8,
2011-01,-5.0,
2011-04,18.5,
2011-07,5.0,
2011-10,-9.6,
2012-01,26.5,
2012-04,57.0,
2012-07,6.0,
2012-10,-14.9,
2013-01,-15.9,
2013-04,13.0,
2013-07,-22.7,
2013-10,19.1,
2014-01,-6.2,
