"",BBK01.OEHB22K,BBK01.OEHB22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:44,
2002-01,0.006,
2002-04,0.004,
2002-07,0.003,
2002-10,0.018,
2003-01,0.006,
2003-04,0.006,
2003-07,0.008,
2003-10,0.005,
2004-01,0.009,
2004-04,0.012,
2004-07,0.008,
2004-10,0.006,
2005-01,0.002,
2005-04,0.053,
2005-07,0.005,
2005-10,0.004,
2006-01,-,Nothing exists
2006-04,0.018,
2006-07,0.016,
2006-10,-,Nothing exists
2007-01,-,Nothing exists
2007-04,0.033,
2007-07,0.001,
2007-10,0.050,
2008-01,-,Nothing exists
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,0.035,
2009-01,0.005,
2009-04,0.003,
2009-07,0.024,
2009-10,0.047,
2010-01,0.024,
2010-04,0.008,
2010-07,0.010,
2010-10,0.019,
2011-01,0.023,
2011-04,0.056,
2011-07,0.006,
2011-10,0.003,
2012-01,0.022,
2012-04,0.001,
2012-07,0.004,
2012-10,0.011,
2013-01,0.006,
2013-04,0.004,
2013-07,0.006,
2013-10,0.120,
2014-01,0.008,
2014-04,0.009,
2014-07,0.012,
