"",BBFB1.Q.N.DE.FI.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:07,
1991-01,6.621,
1991-04,7.557,
1991-07,6.337,
1991-10,3.935,
1992-01,7.779,
1992-04,6.838,
1992-07,8.440,
1992-10,4.414,
1993-01,8.012,
1993-04,4.675,
1993-07,6.759,
1993-10,6.658,
1994-01,7.926,
1994-04,6.280,
1994-07,7.818,
1994-10,6.515,
1995-01,8.049,
1995-04,7.493,
1995-07,5.656,
1995-10,5.092,
1996-01,6.336,
1996-04,9.285,
1996-07,6.487,
1996-10,9.007,
1997-01,6.912,
1997-04,8.597,
1997-07,6.310,
1997-10,7.396,
1998-01,17.383,
1998-04,8.083,
1998-07,8.625,
1998-10,7.422,
1999-01,8.073,
1999-04,13.630,
1999-07,9.774,
1999-10,7.335,
2000-01,8.538,
2000-04,21.743,
2000-07,8.577,
2000-10,9.295,
2001-01,12.802,
2001-04,28.204,
2001-07,10.524,
2001-10,13.164,
2002-01,10.980,
2002-04,36.516,
2002-07,9.260,
2002-10,11.926,
2003-01,10.496,
2003-04,25.750,
2003-07,8.095,
2003-10,7.170,
2004-01,8.203,
2004-04,28.834,
2004-07,7.044,
2004-10,10.905,
2005-01,11.957,
2005-04,30.990,
2005-07,8.145,
2005-10,8.705,
2006-01,23.687,
2006-04,35.601,
2006-07,9.981,
2006-10,17.310,
2007-01,13.054,
2007-04,40.467,
2007-07,9.641,
2007-10,10.730,
2008-01,11.285,
2008-04,33.806,
2008-07,47.258,
2008-10,8.455,
2009-01,18.196,
2009-04,35.647,
2009-07,24.642,
2009-10,21.055,
2010-01,29.234,
2010-04,35.707,
2010-07,26.853,
2010-10,17.677,
2011-01,13.170,
2011-04,27.914,
2011-07,12.543,
2011-10,12.717,
2012-01,15.792,
2012-04,24.261,
2012-07,12.460,
2012-10,12.636,
2013-01,40.382,
2013-04,20.791,
2013-07,18.770,
2013-10,30.356,
2014-01,15.838,Provisional value
2014-04,79.083,Provisional value
2014-07,86.127,Provisional value
