"",BBK01.OEAD05T,BBK01.OEAD05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:07,
2002-01,0.306,
2002-04,0.308,
2002-07,0.303,
2002-10,0.311,
2003-01,0.298,
2003-04,0.302,
2003-07,0.321,
2003-10,0.293,
2004-01,0.292,
2004-04,0.288,
2004-07,0.285,
2004-10,0.245,
2005-01,0.251,
2005-04,0.242,
2005-07,0.229,
2005-10,0.225,
2006-01,0.247,
2006-04,0.224,
2006-07,0.250,
2006-10,0.218,
2007-01,0.201,
2007-04,0.211,
2007-07,0.204,
2007-10,0.202,
2008-01,0.215,
2008-04,0.223,
2008-07,0.210,
2008-10,0.211,
2009-01,0.206,
2009-04,0.208,
2009-07,0.207,
2009-10,0.189,
2010-01,0.217,
2010-04,0.212,
2010-07,0.203,
2010-10,0.207,
2011-01,0.215,
2011-04,0.224,
2011-07,0.223,
2011-10,0.228,
2012-01,0.222,
2012-04,0.225,
2012-07,0.217,
2012-10,0.224,
2013-01,0.222,
2013-04,0.214,
2013-07,0.228,
2013-10,0.215,
2014-01,0.220,
2014-04,0.227,
2014-07,0.226,
