"",BBFB1.Q.N.DE.CH.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:40,
1991-01,608.569,
1991-04,720.163,
1991-07,692.765,
1991-10,782.500,
1992-01,662.811,
1992-04,767.547,
1992-07,722.128,
1992-10,771.466,
1993-01,727.325,
1993-04,795.099,
1993-07,825.425,
1993-10,860.476,
1994-01,769.463,
1994-04,765.599,
1994-07,845.352,
1994-10,857.080,
1995-01,817.724,
1995-04,836.264,
1995-07,878.730,
1995-10,1053.106,
1996-01,866.009,
1996-04,995.915,
1996-07,946.512,
1996-10,1107.679,
1997-01,915.818,
1997-04,1141.949,
1997-07,1112.743,
1997-10,1316.983,
1998-01,1128.875,
1998-04,1120.895,
1998-07,1321.972,
1998-10,1363.392,
1999-01,1193.676,
1999-04,1245.821,
1999-07,1215.859,
1999-10,1337.697,
2000-01,1361.470,
2000-04,1418.125,
2000-07,1403.245,
2000-10,1582.584,
2001-01,1462.985,
2001-04,1616.644,
2001-07,1678.483,
2001-10,1934.769,
2002-01,1509.113,
2002-04,1732.537,
2002-07,1716.897,
2002-10,1807.099,
2003-01,1753.876,
2003-04,2157.412,
2003-07,2450.613,
2003-10,2959.268,
2004-01,2605.732,
2004-04,2835.109,
2004-07,2968.941,
2004-10,3300.253,
2005-01,2335.487,
2005-04,2582.388,
2005-07,2608.139,
2005-10,2943.753,
2006-01,2557.032,
2006-04,3046.633,
2006-07,2915.781,
2006-10,3083.293,
2007-01,2790.749,
2007-04,3355.204,
2007-07,3665.993,
2007-10,3467.109,
2008-01,3402.480,
2008-04,3512.871,
2008-07,3741.919,
2008-10,3919.188,
2009-01,3241.517,
2009-04,3467.433,
2009-07,3788.075,
2009-10,3737.710,
2010-01,3688.929,
2010-04,3969.432,
2010-07,3985.028,
2010-10,4148.883,
2011-01,3692.339,
2011-04,3878.837,
2011-07,4200.114,
2011-10,4522.262,
2012-01,3977.876,
2012-04,4135.022,
2012-07,4171.780,
2012-10,4484.276,
2013-01,4114.935,
2013-04,4270.697,
2013-07,4347.733,
2013-10,5013.176,
2014-01,4802.535,Provisional value
2014-04,5017.593,Provisional value
2014-07,4957.713,Provisional value
