"",BBK01.OEYM01M,BBK01.OEYM01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:33,
2002-01,1.084,
2002-04,1.110,
2002-07,1.031,
2002-10,1.011,
2003-01,0.814,
2003-04,1.112,
2003-07,0.705,
2003-10,0.820,
2004-01,0.651,
2004-04,0.851,
2004-07,0.596,
2004-10,0.719,
2005-01,0.501,
2005-04,0.627,
2005-07,0.582,
2005-10,0.847,
2006-01,1.004,
2006-04,0.793,
2006-07,1.181,
2006-10,1.229,
2007-01,1.282,
2007-04,1.376,
2007-07,1.383,
2007-10,2.027,
2008-01,2.318,
2008-04,2.187,
2008-07,2.398,
2008-10,4.678,
2009-01,2.806,
2009-04,3.795,
2009-07,2.368,
2009-10,2.257,
2010-01,1.536,
2010-04,3.634,
2010-07,3.143,
2010-10,3.022,
2011-01,3.043,
2011-04,4.301,
2011-07,4.364,
2011-10,4.387,
2012-01,4.036,
2012-04,5.911,
2012-07,5.138,
2012-10,2.863,
2013-01,2.369,
2013-04,4.099,
2013-07,2.858,
2013-10,3.651,
2014-01,5.772,
2014-04,4.579,
2014-07,5.932,
