"",BBK01.OEHI09M,BBK01.OEHI09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:16,
2002-01,6.111,
2002-04,5.906,
2002-07,5.801,
2002-10,5.865,
2003-01,5.725,
2003-04,5.358,
2003-07,5.091,
2003-10,5.072,
2004-01,4.870,
2004-04,4.714,
2004-07,4.688,
2004-10,4.920,
2005-01,4.915,
2005-04,4.844,
2005-07,4.767,
2005-10,4.859,
2006-01,5.104,
2006-04,5.268,
2006-07,5.528,
2006-10,5.800,
2007-01,5.930,
2007-04,5.979,
2007-07,6.005,
2007-10,6.175,
2008-01,6.063,
2008-04,5.983,
2008-07,5.883,
2008-10,5.936,
2009-01,5.699,
2009-04,5.434,
2009-07,5.364,
2009-10,5.479,
2010-01,5.617,
2010-04,5.371,
2010-07,5.101,
2010-10,4.776,
2011-01,4.663,
2011-04,4.594,
2011-07,4.577,
2011-10,4.626,
2012-01,4.591,
2012-04,4.540,
2012-07,4.491,
2012-10,4.559,
2013-01,4.609,
2013-04,4.482,
2013-07,4.368,
2013-10,4.244,
2014-01,4.136,
2014-04,4.045,
2014-07,3.929,
