"",BBK01.OEBM04S,BBK01.OEBM04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:40,
2002-01,0.466,
2002-04,0.392,
2002-07,0.366,
2002-10,0.342,
2003-01,0.244,
2003-04,0.201,
2003-07,0.214,
2003-10,0.175,
2004-01,0.121,
2004-04,0.149,
2004-07,0.151,
2004-10,0.133,
2005-01,0.138,
2005-04,0.148,
2005-07,0.143,
2005-10,0.154,
2006-01,0.156,
2006-04,0.191,
2006-07,0.219,
2006-10,0.193,
2007-01,0.230,
2007-04,0.285,
2007-07,0.344,
2007-10,0.362,
2008-01,0.401,
2008-04,0.425,
2008-07,0.469,
2008-10,0.413,
2009-01,0.209,
2009-04,0.130,
2009-07,0.118,
2009-10,0.088,
2010-01,0.093,
2010-04,0.083,
2010-07,0.102,
2010-10,0.113,
2011-01,0.113,
2011-04,0.143,
2011-07,0.169,
2011-10,0.353,
2012-01,0.524,
2012-04,0.625,
2012-07,0.678,
2012-10,0.659,
2013-01,0.696,
2013-04,0.715,
2013-07,0.648,
2013-10,0.676,
2014-01,0.608,
2014-04,0.589,
2014-07,0.554,
