"",BBK01.OECI05H,BBK01.OECI05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:45,
2002-01,39.262,
2002-04,39.064,
2002-07,38.240,
2002-10,39.505,
2003-01,38.544,
2003-04,38.444,
2003-07,38.368,
2003-10,37.585,
2004-01,36.889,
2004-04,36.329,
2004-07,34.889,
2004-10,34.049,
2005-01,37.064,
2005-04,36.405,
2005-07,35.917,
2005-10,34.942,
2006-01,34.171,
2006-04,33.500,
2006-07,33.340,
2006-10,32.181,
2007-01,31.372,
2007-04,31.508,
2007-07,32.242,
2007-10,31.383,
2008-01,30.518,
2008-04,30.902,
2008-07,29.406,
2008-10,41.455,
2009-01,41.136,
2009-04,39.758,
2009-07,39.330,
2009-10,38.111,
2010-01,37.264,
2010-04,36.582,
2010-07,36.126,
2010-10,35.179,
2011-01,34.324,
2011-04,33.201,
2011-07,31.799,
2011-10,31.317,
2012-01,30.289,
2012-04,29.643,
2012-07,28.760,
2012-10,28.240,
2013-01,27.772,
2013-04,26.982,
2013-07,25.924,
2013-10,24.997,
2014-01,23.871,
2014-04,22.166,
2014-07,21.906,
