"",BBK01.OEAC35Q,BBK01.OEAC35Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:26,
2002-01,0.478,
2002-04,0.453,
2002-07,0.455,
2002-10,0.434,
2003-01,0.468,
2003-04,0.618,
2003-07,0.617,
2003-10,0.637,
2004-01,0.456,
2004-04,0.465,
2004-07,0.436,
2004-10,0.412,
2005-01,0.440,
2005-04,0.442,
2005-07,0.427,
2005-10,0.399,
2006-01,0.371,
2006-04,0.382,
2006-07,0.440,
2006-10,0.396,
2007-01,0.394,
2007-04,0.369,
2007-07,0.378,
2007-10,0.375,
2008-01,0.357,
2008-04,0.357,
2008-07,0.393,
2008-10,0.403,
2009-01,0.353,
2009-04,0.359,
2009-07,0.318,
2009-10,0.301,
2010-01,0.287,
2010-04,0.272,
2010-07,0.238,
2010-10,0.213,
2011-01,0.230,
2011-04,0.221,
2011-07,0.208,
2011-10,0.223,
2012-01,0.209,
2012-04,0.216,
2012-07,0.212,
2012-10,0.216,
2013-01,0.220,
2013-04,0.216,
2013-07,0.231,
2013-10,0.223,
2014-01,0.216,
2014-04,0.229,
2014-07,0.232,
