"",BBK01.CELFN1E,BBK01.CELFN1E_FLAGS
"",Längerfristige Loans                                            debtor: Rest of the world                   creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:29,
1999-01,-0.1,
1999-04,0.5,
1999-07,2.2,
1999-10,0.1,
2000-01,1.3,
2000-04,2.1,
2000-07,0.6,
2000-10,0.2,
2001-01,0.8,
2001-04,1.2,
2001-07,-0.3,
2001-10,0.2,
2002-01,7.1,
2002-04,0.2,
2002-07,2.5,
2002-10,-5.4,
2003-01,0.1,
2003-04,-1.2,
2003-07,-0.2,
2003-10,0.6,
2004-01,-1.0,
2004-04,0.9,
2004-07,0.3,
2004-10,-1.1,
2005-01,3.8,
2005-04,-3.3,
2005-07,-0.5,
2005-10,1.5,
2006-01,0.5,
2006-04,-0.5,
2006-07,0.4,
2006-10,0.7,
2007-01,-0.7,
2007-04,0.3,
2007-07,4.5,
2007-10,1.3,
2008-01,4.3,
2008-04,-2.2,
2008-07,0.6,
2008-10,-1.2,
2009-01,1.4,
2009-04,-0.5,
2009-07,5.1,
2009-10,4.6,
2010-01,2.3,
2010-04,2.8,
2010-07,-2.9,
2010-10,0.1,
2011-01,1.4,
2011-04,-1.8,
2011-07,-0.4,
2011-10,0.1,
2012-01,0.7,
2012-04,1.3,
2012-07,1.4,
2012-10,1.4,
2013-01,0.2,
2013-04,8.8,
2013-07,1.7,
2013-10,-4.6,
2014-01,-1.4,
2014-04,-2.0,
2014-07,0.3,
