"",BBK01.OEYM02T,BBK01.OEYM02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:41,
2002-01,0.008,
2002-04,0.009,
2002-07,0.009,
2002-10,0.008,
2003-01,0.007,
2003-04,0.005,
2003-07,0.013,
2003-10,0.019,
2004-01,0.046,
2004-04,0.017,
2004-07,0.008,
2004-10,0.113,
2005-01,0.079,
2005-04,0.076,
2005-07,0.062,
2005-10,0.100,
2006-01,0.056,
2006-04,0.230,
2006-07,0.053,
2006-10,0.134,
2007-01,0.068,
2007-04,0.065,
2007-07,0.062,
2007-10,0.124,
2008-01,0.064,
2008-04,0.054,
2008-07,0.060,
2008-10,0.113,
2009-01,0.079,
2009-04,0.083,
2009-07,0.066,
2009-10,0.083,
2010-01,0.061,
2010-04,0.060,
2010-07,0.060,
2010-10,0.152,
2011-01,0.051,
2011-04,0.069,
2011-07,0.270,
2011-10,0.097,
2012-01,0.045,
2012-04,0.055,
2012-07,0.050,
2012-10,0.136,
2013-01,0.066,
2013-04,0.064,
2013-07,0.056,
2013-10,0.120,
2014-01,0.066,
2014-04,0.094,
2014-07,0.073,
