"",BBK01.OUH154,BBK01.OUH154_FLAGS
"",Sight deposits of local government and local government associations / Savings banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:25:12,
1968-12,1.054,
1969-01,0.731,
1969-02,0.847,
1969-03,0.809,
1969-04,0.735,
1969-05,0.861,
1969-06,0.907,
1969-07,0.747,
1969-08,0.894,
1969-09,0.888,
1969-10,0.745,
1969-11,0.952,
1969-12,1.182,
1970-01,0.828,
1970-02,0.869,
1970-03,0.825,
1970-04,0.904,
1970-05,0.879,
1970-06,0.871,
1970-07,0.832,
1970-08,0.891,
1970-09,0.819,
1970-10,0.844,
1970-11,0.948,
1970-12,1.140,
1971-01,0.836,
1971-02,0.873,
1971-03,0.786,
1971-04,0.914,
1971-05,1.004,
1971-06,0.887,
1971-07,0.943,
1971-08,0.999,
1971-09,0.894,
1971-10,0.953,
1971-11,1.010,
1971-12,1.201,
1972-01,0.880,
1972-02,0.960,
1972-03,0.859,
1972-04,1.112,
1972-05,1.024,
1972-06,0.965,
1972-07,1.058,
1972-08,1.066,
1972-09,1.023,
1972-10,1.221,
1972-11,1.104,
1972-12,1.405,
1973-01,1.112,
1973-02,1.052,
1973-03,0.875,
1973-04,1.100,
1973-05,1.046,
1973-06,0.988,
1973-07,1.084,
1973-08,1.044,
1973-09,1.007,
1973-10,1.191,
1973-11,1.096,
1973-12,1.784,
1974-01,1.170,
1974-02,1.120,
1974-03,0.980,
1974-04,1.257,
1974-05,1.024,
1974-06,0.959,
1974-07,1.224,
1974-08,1.114,
1974-09,1.098,
1974-10,1.335,
1974-11,1.208,
1974-12,1.725,
1975-01,1.139,
1975-02,1.111,
1975-03,1.215,
1975-04,1.173,
1975-05,1.228,
1975-06,1.158,
1975-07,1.253,
1975-08,1.342,
1975-09,1.287,
1975-10,1.481,
1975-11,1.332,
1975-12,1.771,
1976-01,1.190,
1976-02,1.250,
1976-03,1.192,
1976-04,1.410,
1976-05,1.426,
1976-06,1.206,
1976-07,1.396,
1976-08,1.404,
1976-09,1.253,
1976-10,1.591,
1976-11,1.554,
1976-12,1.720,
1977-01,1.219,
1977-02,1.410,
1977-03,1.242,
1977-04,1.546,
1977-05,1.548,
1977-06,1.307,
1977-07,1.501,
1977-08,1.544,
1977-09,1.389,
1977-10,1.773,
1977-11,1.679,
1977-12,1.889,
1978-01,1.464,
1978-02,1.536,
1978-03,1.443,
1978-04,1.768,
1978-05,1.779,
1978-06,1.480,
1978-07,1.601,
1978-08,1.708,
1978-09,1.429,
1978-10,1.939,
1978-11,1.861,
1978-12,2.040,
1979-01,1.337,
1979-02,1.720,
1979-03,1.387,
1979-04,1.706,
1979-05,1.888,
1979-06,1.428,
1979-07,1.505,
1979-08,1.790,
1979-09,1.403,
1979-10,1.720,
1979-11,1.847,
1979-12,2.004,
1980-01,1.238,
1980-02,1.623,
1980-03,1.258,
1980-04,1.719,
1980-05,1.969,
1980-06,1.420,
1980-07,1.672,
1980-08,1.954,
1980-09,1.419,
1980-10,1.921,
1980-11,2.044,
1980-12,1.895,
1981-01,1.184,
1981-02,1.642,
1981-03,1.184,
1981-04,1.455,
1981-05,1.933,
1981-06,1.124,
1981-07,1.355,
1981-08,1.816,
1981-09,1.161,
1981-10,1.630,
1981-11,1.942,
1981-12,1.607,
1982-01,1.069,
1982-02,1.489,
1982-03,1.300,
1982-04,1.732,
1982-05,1.760,
1982-06,1.458,
1982-07,1.487,
1982-08,1.662,
1982-09,1.521,
1982-10,1.872,
1982-11,1.787,
1982-12,1.777,
1983-01,1.348,
1983-02,1.632,
1983-03,1.443,
1983-04,1.825,
1983-05,2.045,
1983-06,1.530,
1983-07,1.796,
1983-08,1.857,
1983-09,1.555,
1983-10,2.066,
1983-11,1.940,
1983-12,1.959,
1984-01,1.419,
1984-02,1.750,
1984-03,1.583,
1984-04,1.793,
1984-05,2.001,
1984-06,1.710,
1984-07,1.986,
1984-08,1.831,
1984-09,1.735,
1984-10,2.259,
1984-11,2.126,
1984-12,2.357,
1985-01,1.511,
1985-02,1.775,
1985-03,1.574,
1985-04,2.029,
1985-05,1.935,
1985-06,1.673,
1985-07,1.994,
1985-08,2.000,
1985-09,1.840,
1985-10,2.209,
1985-11,2.249,
1985-12,2.542,
1986-01,1.500,
1986-02,1.840,
1986-03,1.691,
1986-04,2.139,
1986-05,2.254,
1986-06,1.802,
1986-07,2.126,
1986-08,2.177,
1986-09,1.971,
1986-10,2.312,
1986-11,2.354,
1986-12,2.564,
1987-01,1.662,
1987-02,1.952,
1987-03,1.832,
1987-04,2.275,
1987-05,2.293,
1987-06,1.990,
1987-07,2.096,
1987-08,2.289,
1987-09,1.934,
1987-10,2.511,
1987-11,2.560,
1987-12,2.669,
1988-01,1.804,
1988-02,2.268,
1988-03,1.823,
1988-04,2.390,
1988-05,2.500,
1988-06,2.017,
1988-07,2.439,
1988-08,2.548,
1988-09,2.086,
1988-10,2.836,
1988-11,2.695,
1988-12,2.862,
1989-01,1.978,
1989-02,2.287,
1989-03,2.006,
1989-04,2.572,
1989-05,2.671,
1989-06,2.217,
1989-07,2.676,
1989-08,2.559,
1989-09,2.182,
1989-10,2.757,
1989-11,2.808,
1989-12,3.224,
1990-01,2.074,
1990-02,2.487,
1990-03,2.053,
1990-04,2.681,
1990-05,2.635,
1990-06,2.155,
1990-07,2.617,
1990-08,2.582,
1990-09,2.492,
1990-10,2.888,
1990-11,3.043,
1990-12,3.854,
1991-01,2.496,
1991-02,3.168,
1991-03,3.063,
1991-04,3.483,
1991-05,3.250,
1991-06,3.058,
1991-07,3.394,
1991-08,3.521,
1991-09,3.047,
1991-10,3.801,
1991-11,3.851,
1991-12,4.304,
1992-01,3.109,
1992-02,3.423,
1992-03,3.209,
1992-04,3.765,
1992-05,3.761,
1992-06,3.616,
1992-07,3.596,
1992-08,3.951,
1992-09,3.356,
1992-10,4.046,
1992-11,4.332,
1992-12,4.803,
1993-01,3.487,
1993-02,3.663,
1993-03,3.278,
1993-04,4.202,
1993-05,4.036,
1993-06,3.518,
1993-07,4.062,
1993-08,4.183,
1993-09,3.518,
1993-10,4.814,
1993-11,4.967,
1993-12,5.359,
1994-01,3.946,
1994-02,4.210,
1994-03,3.674,
1994-04,4.561,
1994-05,4.611,
1994-06,3.977,
1994-07,4.299,
1994-08,4.531,
1994-09,3.779,
1994-10,4.455,
1994-11,4.831,
1994-12,5.583,
1995-01,3.990,
1995-02,4.215,
1995-03,3.402,
1995-04,4.198,
1995-05,4.216,
1995-06,3.622,
1995-07,4.068,
1995-08,4.207,
1995-09,3.743,
1995-10,4.217,
1995-11,4.594,
1995-12,5.294,
1996-01,4.028,
1996-02,4.272,
1996-03,3.814,
1996-04,4.449,
1996-05,4.678,
1996-06,4.210,
1996-07,4.340,
1996-08,4.749,
1996-09,3.920,
1996-10,4.217,
1996-11,4.965,
1996-12,5.704,
1997-01,3.689,
1997-02,4.273,
1997-03,3.801,
1997-04,4.240,
1997-05,4.668,
1997-06,4.210,
1997-07,4.195,
1997-08,4.808,
1997-09,3.922,
1997-10,4.345,
1997-11,4.927,
1997-12,5.377,
1998-01,4.039,
1998-02,4.510,
1998-03,4.002,
1998-04,4.559,
1998-05,4.847,
1998-06,4.397,
1998-07,4.557,
1998-08,5.052,
1998-09,4.359,
1998-10,5.058,
1998-11,5.345,
1998-12,6.075,
1999-01,4.537,
1999-02,5.128,
1999-03,4.502,
1999-04,5.301,
1999-05,5.661,
1999-06,4.900,
1999-07,5.401,
1999-08,5.839,
1999-09,5.182,
1999-10,5.614,
1999-11,5.834,
1999-12,5.917,
2000-01,4.767,
2000-02,4.965,
2000-03,4.685,
2000-04,5.492,
2000-05,5.432,
2000-06,5.372,
