"",BBK01.OEXL03G,BBK01.OEXL03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:59,
2002-01,7.546,
2002-04,7.315,
2002-07,7.518,
2002-10,7.231,
2003-01,7.101,
2003-04,6.774,
2003-07,6.367,
2003-10,6.117,
2004-01,5.865,
2004-04,5.728,
2004-07,5.607,
2004-10,5.618,
2005-01,1.079,
2005-04,1.087,
2005-07,0.662,
2005-10,0.804,
2006-01,0.775,
2006-04,0.757,
2006-07,0.841,
2006-10,1.035,
2007-01,1.272,
2007-04,1.376,
2007-07,1.629,
2007-10,2.266,
2008-01,3.032,
2008-04,3.339,
2008-07,3.726,
2008-10,4.467,
2009-01,8.377,
2009-04,9.260,
2009-07,8.992,
2009-10,8.981,
2010-01,6.723,
2010-04,6.453,
2010-07,6.471,
2010-10,6.735,
2011-01,6.598,
2011-04,6.497,
2011-07,7.068,
2011-10,7.510,
2012-01,7.339,
2012-04,7.843,
2012-07,7.618,
2012-10,8.406,
2013-01,8.954,
2013-04,8.023,
2013-07,7.187,
2013-10,6.963,
2014-01,6.926,
2014-04,7.000,
2014-07,7.072,
