"",BBK01.OELJ06G,BBK01.OELJ06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:50,
2002-01,0.641,
2002-04,0.632,
2002-07,0.609,
2002-10,0.595,
2003-01,0.583,
2003-04,0.560,
2003-07,0.540,
2003-10,0.485,
2004-01,0.440,
2004-04,0.429,
2004-07,0.377,
2004-10,0.358,
2005-01,0.360,
2005-04,0.357,
2005-07,0.366,
2005-10,0.352,
2006-01,0.307,
2006-04,0.319,
2006-07,0.300,
2006-10,0.300,
2007-01,0.285,
2007-04,0.270,
2007-07,0.250,
2007-10,0.241,
2008-01,0.198,
2008-04,0.188,
2008-07,0.180,
2008-10,0.176,
2009-01,0.178,
2009-04,0.169,
2009-07,0.157,
2009-10,0.155,
2010-01,0.180,
2010-04,0.182,
2010-07,0.174,
2010-10,0.180,
2011-01,0.162,
2011-04,0.177,
2011-07,0.178,
2011-10,0.168,
2012-01,0.141,
2012-04,0.138,
2012-07,0.136,
2012-10,0.131,
2013-01,0.122,
2013-04,0.113,
2013-07,0.110,
2013-10,0.108,
2014-01,0.104,
2014-04,0.102,
2014-07,0.090,
