"",BBK01.OECL07N,BBK01.OECL07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:00,
2002-01,5.179,
2002-04,3.277,
2002-07,3.229,
2002-10,3.600,
2003-01,3.541,
2003-04,3.435,
2003-07,4.077,
2003-10,4.059,
2004-01,3.818,
2004-04,3.758,
2004-07,4.822,
2004-10,5.069,
2005-01,12.284,
2005-04,12.236,
2005-07,11.895,
2005-10,11.569,
2006-01,11.351,
2006-04,11.155,
2006-07,10.883,
2006-10,10.769,
2007-01,10.959,
2007-04,10.853,
2007-07,10.655,
2007-10,10.882,
2008-01,10.785,
2008-04,11.114,
2008-07,10.763,
2008-10,11.491,
2009-01,11.813,
2009-04,12.441,
2009-07,13.260,
2009-10,13.503,
2010-01,13.401,
2010-04,13.212,
2010-07,13.235,
2010-10,13.456,
2011-01,13.307,
2011-04,12.870,
2011-07,12.784,
2011-10,12.722,
2012-01,14.240,
2012-04,13.952,
2012-07,13.860,
2012-10,13.883,
2013-01,12.937,
2013-04,12.628,
2013-07,12.290,
2013-10,12.333,
2014-01,12.065,
2014-04,11.827,
2014-07,12.167,
