"",BBK01.OEBL06U,BBK01.OEBL06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:50,
2002-01,0.071,
2002-04,0.070,
2002-07,0.058,
2002-10,0.051,
2003-01,0.050,
2003-04,0.046,
2003-07,0.040,
2003-10,0.038,
2004-01,0.039,
2004-04,0.035,
2004-07,0.035,
2004-10,0.034,
2005-01,0.040,
2005-04,0.041,
2005-07,0.039,
2005-10,0.037,
2006-01,0.039,
2006-04,0.041,
2006-07,0.047,
2006-10,0.051,
2007-01,0.056,
2007-04,0.058,
2007-07,0.061,
2007-10,0.070,
2008-01,0.080,
2008-04,0.093,
2008-07,0.098,
2008-10,0.108,
2009-01,0.116,
2009-04,0.101,
2009-07,0.092,
2009-10,0.086,
2010-01,0.091,
2010-04,0.113,
2010-07,0.126,
2010-10,0.136,
2011-01,0.147,
2011-04,0.182,
2011-07,0.198,
2011-10,0.203,
2012-01,0.209,
2012-04,0.216,
2012-07,0.214,
2012-10,0.199,
2013-01,0.175,
2013-04,0.153,
2013-07,0.150,
2013-10,0.150,
2014-01,0.150,
2014-04,0.144,
2014-07,0.132,
