"",BBK01.OEBK03S,BBK01.OEBK03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:07,
2002-01,0.119,
2002-04,0.117,
2002-07,0.102,
2002-10,0.077,
2003-01,0.074,
2003-04,0.061,
2003-07,0.064,
2003-10,0.059,
2004-01,0.058,
2004-04,0.051,
2004-07,0.044,
2004-10,0.051,
2005-01,0.047,
2005-04,0.047,
2005-07,0.049,
2005-10,0.052,
2006-01,0.055,
2006-04,0.054,
2006-07,0.051,
2006-10,0.059,
2007-01,0.056,
2007-04,0.063,
2007-07,0.069,
2007-10,0.074,
2008-01,0.091,
2008-04,0.101,
2008-07,0.155,
2008-10,0.145,
2009-01,0.086,
2009-04,0.073,
2009-07,0.056,
2009-10,0.047,
2010-01,0.047,
2010-04,0.043,
2010-07,0.027,
2010-10,0.020,
2011-01,0.026,
2011-04,0.022,
2011-07,0.026,
2011-10,0.030,
2012-01,0.033,
2012-04,0.032,
2012-07,0.024,
2012-10,0.019,
2013-01,0.017,
2013-04,0.016,
2013-07,0.015,
2013-10,0.015,
2014-01,0.015,
2014-04,0.012,
2014-07,0.012,
