"",BBK01.OEXB01T,BBK01.OEXB01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:10,
2002-01,4.489,
2002-04,4.526,
2002-07,4.666,
2002-10,4.805,
2003-01,4.821,
2003-04,4.844,
2003-07,4.892,
2003-10,4.994,
2004-01,4.985,
2004-04,4.971,
2004-07,5.007,
2004-10,4.787,
2005-01,4.782,
2005-04,4.764,
2005-07,4.805,
2005-10,4.790,
2006-01,4.839,
2006-04,4.880,
2006-07,4.867,
2006-10,4.964,
2007-01,4.993,
2007-04,5.070,
2007-07,5.160,
2007-10,5.163,
2008-01,5.116,
2008-04,5.109,
2008-07,5.168,
2008-10,5.208,
2009-01,5.243,
2009-04,5.301,
2009-07,5.376,
2009-10,5.545,
2010-01,5.564,
2010-04,5.581,
2010-07,5.659,
2010-10,5.749,
2011-01,5.804,
2011-04,5.886,
2011-07,6.121,
2011-10,6.263,
2012-01,6.358,
2012-04,6.530,
2012-07,6.671,
2012-10,6.766,
2013-01,6.830,
2013-04,6.805,
2013-07,6.890,
2013-10,6.897,
2014-01,6.901,
2014-04,6.898,
2014-07,6.942,
