"",BBK01.OEAE02J,BBK01.OEAE02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:33,
2002-01,1.263,
2002-04,1.275,
2002-07,1.102,
2002-10,1.107,
2003-01,1.093,
2003-04,1.091,
2003-07,1.073,
2003-10,1.045,
2004-01,1.007,
2004-04,1.000,
2004-07,1.003,
2004-10,1.031,
2005-01,1.013,
2005-04,1.020,
2005-07,0.996,
2005-10,1.009,
2006-01,0.987,
2006-04,1.026,
2006-07,1.049,
2006-10,1.049,
2007-01,1.053,
2007-04,1.055,
2007-07,1.051,
2007-10,1.048,
2008-01,0.986,
2008-04,0.963,
2008-07,0.842,
2008-10,0.948,
2009-01,1.024,
2009-04,1.024,
2009-07,1.039,
2009-10,1.097,
2010-01,0.937,
2010-04,1.054,
2010-07,1.010,
2010-10,0.997,
2011-01,0.968,
2011-04,0.962,
2011-07,1.027,
2011-10,0.981,
2012-01,0.974,
2012-04,1.054,
2012-07,1.069,
2012-10,1.122,
2013-01,1.108,
2013-04,1.167,
2013-07,1.189,
2013-10,1.181,
2014-01,1.214,
2014-04,1.166,
2014-07,1.184,
