"",BBK01.CEFQ01,BBK01.CEFQ01_FLAGS
"",short-term time deposits  debtor: Total                   creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:43,
1999-01,97.1,
1999-04,96.7,
1999-07,98.5,
1999-10,96.8,
2000-01,103.1,
2000-04,101.8,
2000-07,102.1,
2000-10,95.6,
2001-01,105.3,
2001-04,98.8,
2001-07,100.1,
2001-10,101.6,
2002-01,96.6,
2002-04,100.6,
2002-07,106.0,
2002-10,106.4,
2003-01,106.6,
2003-04,108.3,
2003-07,107.6,
2003-10,102.8,
2004-01,99.1,
2004-04,99.3,
2004-07,98.6,
2004-10,108.5,
2005-01,105.3,
2005-04,106.2,
2005-07,114.7,
2005-10,111.4,
2006-01,114.7,
2006-04,116.9,
2006-07,118.5,
2006-10,119.0,
2007-01,123.1,
2007-04,118.3,
2007-07,133.9,
2007-10,142.2,
2008-01,129.1,
2008-04,135.0,
2008-07,138.0,
2008-10,133.9,
2009-01,124.5,
2009-04,116.9,
2009-07,116.8,
2009-10,102.8,
2010-01,104.9,
2010-04,89.9,
2010-07,101.6,
2010-10,104.2,
2011-01,92.5,
2011-04,79.3,
2011-07,63.3,
2011-10,75.4,
2012-01,74.2,
2012-04,60.3,
2012-07,55.4,
2012-10,59.0,
2013-01,39.7,
2013-04,23.8,
2013-07,42.4,
2013-10,46.3,
2014-01,24.7,
2014-04,9.9,
2014-07,20.7,
