"",BBK01.OEAF13M,BBK01.OEAF13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:30,
2002-01,0.661,
2002-04,0.650,
2002-07,0.661,
2002-10,0.672,
2003-01,0.663,
2003-04,0.665,
2003-07,0.679,
2003-10,0.680,
2004-01,0.645,
2004-04,0.646,
2004-07,0.642,
2004-10,0.633,
2005-01,0.617,
2005-04,0.617,
2005-07,0.672,
2005-10,0.628,
2006-01,0.613,
2006-04,0.678,
2006-07,0.743,
2006-10,0.700,
2007-01,0.792,
2007-04,0.799,
2007-07,0.757,
2007-10,0.723,
2008-01,0.614,
2008-04,0.646,
2008-07,0.664,
2008-10,0.735,
2009-01,0.611,
2009-04,0.621,
2009-07,0.608,
2009-10,0.631,
2010-01,0.522,
2010-04,0.590,
2010-07,0.624,
2010-10,0.653,
2011-01,0.548,
2011-04,0.542,
2011-07,0.559,
2011-10,0.638,
2012-01,0.537,
2012-04,0.542,
2012-07,0.572,
2012-10,0.655,
2013-01,0.589,
2013-04,0.613,
2013-07,0.620,
2013-10,0.699,
2014-01,0.640,
2014-04,0.647,
2014-07,0.677,
