"",BBK01.OEAC29L,BBK01.OEAC29L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:38,
2002-01,4.947,
2002-04,4.948,
2002-07,4.725,
2002-10,4.773,
2003-01,4.980,
2003-04,4.808,
2003-07,4.598,
2003-10,4.498,
2004-01,4.647,
2004-04,4.570,
2004-07,4.507,
2004-10,4.665,
2005-01,4.290,
2005-04,4.067,
2005-07,3.998,
2005-10,3.889,
2006-01,3.684,
2006-04,3.602,
2006-07,3.452,
2006-10,3.319,
2007-01,3.286,
2007-04,3.165,
2007-07,3.205,
2007-10,3.359,
2008-01,3.370,
2008-04,3.319,
2008-07,3.355,
2008-10,3.469,
2009-01,3.502,
2009-04,3.334,
2009-07,3.171,
2009-10,3.163,
2010-01,3.236,
2010-04,3.173,
2010-07,3.195,
2010-10,3.089,
2011-01,3.055,
2011-04,2.997,
2011-07,2.959,
2011-10,2.868,
2012-01,2.868,
2012-04,2.876,
2012-07,2.816,
2012-10,2.852,
2013-01,2.794,
2013-04,2.668,
2013-07,2.562,
2013-10,2.466,
2014-01,2.459,
2014-04,2.412,
2014-07,2.312,
