"",BBK01.OEHK01R,BBK01.OEHK01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:27,
2002-01,0.355,
2002-04,0.367,
2002-07,0.395,
2002-10,0.384,
2003-01,0.355,
2003-04,0.375,
2003-07,0.397,
2003-10,0.395,
2004-01,0.357,
2004-04,0.375,
2004-07,0.408,
2004-10,0.402,
2005-01,0.373,
2005-04,0.386,
2005-07,0.426,
2005-10,0.418,
2006-01,0.375,
2006-04,0.381,
2006-07,0.437,
2006-10,0.441,
2007-01,0.399,
2007-04,0.411,
2007-07,0.452,
2007-10,0.439,
2008-01,0.412,
2008-04,0.427,
2008-07,0.463,
2008-10,0.480,
2009-01,0.442,
2009-04,0.459,
2009-07,0.503,
2009-10,0.497,
2010-01,0.462,
2010-04,0.494,
2010-07,0.545,
2010-10,0.534,
2011-01,0.494,
2011-04,0.514,
2011-07,0.567,
2011-10,0.534,
2012-01,0.507,
2012-04,0.530,
2012-07,0.576,
2012-10,0.554,
2013-01,0.525,
2013-04,0.555,
2013-07,0.628,
2013-10,0.597,
2014-01,0.583,
2014-04,0.619,
2014-07,0.686,
