"",BBK01.OEXB09T,BBK01.OEXB09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:13,
2002-01,2.075,
2002-04,2.087,
2002-07,2.185,
2002-10,2.220,
2003-01,2.233,
2003-04,2.226,
2003-07,2.260,
2003-10,2.271,
2004-01,2.253,
2004-04,2.229,
2004-07,2.239,
2004-10,2.177,
2005-01,2.187,
2005-04,2.133,
2005-07,2.192,
2005-10,2.243,
2006-01,2.251,
2006-04,2.265,
2006-07,2.292,
2006-10,2.330,
2007-01,2.322,
2007-04,2.390,
2007-07,2.471,
2007-10,2.465,
2008-01,2.541,
2008-04,2.576,
2008-07,2.651,
2008-10,2.679,
2009-01,2.704,
2009-04,2.742,
2009-07,2.818,
2009-10,2.944,
2010-01,2.954,
2010-04,3.000,
2010-07,3.064,
2010-10,3.161,
2011-01,3.227,
2011-04,3.306,
2011-07,3.489,
2011-10,3.608,
2012-01,3.714,
2012-04,3.840,
2012-07,3.959,
2012-10,4.027,
2013-01,4.062,
2013-04,4.044,
2013-07,4.061,
2013-10,4.065,
2014-01,3.939,
2014-04,3.925,
2014-07,3.940,
