"",BBK01.OEHK04G,BBK01.OEHK04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:42,
2002-01,1.156,
2002-04,1.156,
2002-07,1.120,
2002-10,1.151,
2003-01,1.144,
2003-04,1.144,
2003-07,1.075,
2003-10,1.009,
2004-01,0.950,
2004-04,0.909,
2004-07,0.899,
2004-10,0.873,
2005-01,0.807,
2005-04,0.779,
2005-07,0.882,
2005-10,0.938,
2006-01,0.896,
2006-04,0.915,
2006-07,0.933,
2006-10,0.967,
2007-01,0.958,
2007-04,0.990,
2007-07,1.089,
2007-10,1.270,
2008-01,1.290,
2008-04,1.353,
2008-07,1.459,
2008-10,1.623,
2009-01,1.192,
2009-04,1.002,
2009-07,0.827,
2009-10,0.731,
2010-01,0.658,
2010-04,0.610,
2010-07,0.622,
2010-10,0.630,
2011-01,0.685,
2011-04,0.701,
2011-07,0.728,
2011-10,0.783,
2012-01,0.703,
2012-04,0.644,
2012-07,0.506,
2012-10,0.449,
2013-01,0.436,
2013-04,0.405,
2013-07,0.402,
2013-10,0.405,
2014-01,0.418,
2014-04,0.412,
2014-07,0.410,
