"",BBK01.OEHM02Q,BBK01.OEHM02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:33,
2002-01,0.239,
2002-04,0.240,
2002-07,0.198,
2002-10,0.309,
2003-01,0.236,
2003-04,0.193,
2003-07,0.224,
2003-10,0.303,
2004-01,0.232,
2004-04,0.225,
2004-07,0.231,
2004-10,0.288,
2005-01,0.238,
2005-04,0.256,
2005-07,0.268,
2005-10,0.371,
2006-01,0.258,
2006-04,0.288,
2006-07,0.336,
2006-10,0.368,
2007-01,0.295,
2007-04,0.351,
2007-07,0.314,
2007-10,0.371,
2008-01,0.266,
2008-04,0.310,
2008-07,0.304,
2008-10,0.537,
2009-01,0.613,
2009-04,0.608,
2009-07,0.624,
2009-10,0.855,
2010-01,0.588,
2010-04,0.619,
2010-07,0.664,
2010-10,0.666,
2011-01,0.516,
2011-04,0.455,
2011-07,0.578,
2011-10,0.720,
2012-01,0.608,
2012-04,0.609,
2012-07,0.599,
2012-10,0.730,
2013-01,0.677,
2013-04,0.706,
2013-07,0.737,
2013-10,0.856,
2014-01,0.768,
2014-04,0.802,
2014-07,0.752,
