"",BBFB1.M.N.DE.W1.S1.S1.T.D.SG._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SG._Z._Z._Z._T._X.N_FLAGS
"",Current account / Financial services / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:31,
1991-01,94.635,
1991-02,93.638,
1991-03,98.290,
1991-04,103.334,
1991-05,102.577,
1991-06,104.286,
1991-07,102.433,
1991-08,101.138,
1991-09,102.774,
1991-10,96.312,
1991-11,92.979,
1991-12,96.279,
1992-01,124.933,
1992-02,129.893,
1992-03,144.433,
1992-04,135.331,
1992-05,129.110,
1992-06,123.916,
1992-07,124.606,
1992-08,117.672,
1992-09,126.721,
1992-10,134.057,
1992-11,127.985,
1992-12,145.116,
1993-01,136.063,
1993-02,142.060,
1993-03,146.147,
1993-04,157.481,
1993-05,143.147,
1993-06,148.648,
1993-07,165.132,
1993-08,149.916,
1993-09,145.900,
1993-10,148.001,
1993-11,177.355,
1993-12,153.487,
1994-01,141.990,
1994-02,169.582,
1994-03,150.700,
1994-04,138.633,
1994-05,138.801,
1994-06,142.143,
1994-07,134.570,
1994-08,146.218,
1994-09,134.124,
1994-10,152.055,
1994-11,148.306,
1994-12,144.031,
1995-01,170.798,
1995-02,165.868,
1995-03,165.082,
1995-04,142.607,
1995-05,152.482,
1995-06,156.284,
1995-07,160.300,
1995-08,165.234,
1995-09,160.939,
1995-10,162.443,
1995-11,174.427,
1995-12,169.991,
1996-01,225.739,
1996-02,197.563,
1996-03,198.601,
1996-04,200.403,
1996-05,203.260,
1996-06,204.258,
1996-07,216.250,
1996-08,193.511,
1996-09,213.121,
1996-10,219.457,
1996-11,238.970,
1996-12,257.299,
1997-01,254.116,
1997-02,281.293,
1997-03,283.265,
1997-04,233.688,
1997-05,290.195,
1997-06,258.870,
1997-07,222.520,
1997-08,224.952,
1997-09,258.285,
1997-10,267.253,
1997-11,273.255,
1997-12,270.821,
1998-01,230.557,
1998-02,288.808,
1998-03,264.070,
1998-04,212.819,
1998-05,295.094,
1998-06,255.922,
1998-07,293.931,
1998-08,252.839,
1998-09,285.588,
1998-10,340.335,
1998-11,308.512,
1998-12,250.244,
1999-01,314.617,
1999-02,302.462,
1999-03,247.820,
1999-04,270.537,
1999-05,254.782,
1999-06,498.711,
1999-07,540.888,
1999-08,301.037,
1999-09,358.419,
1999-10,398.419,
1999-11,516.693,
1999-12,551.770,
2000-01,345.443,
2000-02,322.134,
2000-03,280.247,
2000-04,327.623,
2000-05,329.738,
2000-06,300.324,
2000-07,444.958,
2000-08,277.624,
2000-09,313.605,
2000-10,343.584,
2000-11,341.630,
2000-12,589.696,
2001-01,387.962,
2001-02,343.645,
2001-03,422.922,
2001-04,380.455,
2001-05,380.476,
2001-06,373.103,
2001-07,409.669,
2001-08,343.059,
2001-09,342.980,
2001-10,383.876,
2001-11,359.105,
2001-12,503.909,
2002-01,432.423,
2002-02,357.976,
2002-03,326.290,
2002-04,353.071,
2002-05,335.868,
2002-06,311.069,
2002-07,344.169,
2002-08,355.365,
2002-09,309.074,
2002-10,340.902,
2002-11,286.801,
