"",BBK01.CELR0N,BBK01.CELR0N_FLAGS
"",long-term time deposits                                      debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:57,
1999-01,16.9,
1999-04,0.8,
1999-07,3.6,
1999-10,0.7,
2000-01,5.8,
2000-04,1.8,
2000-07,2.3,
2000-10,3.4,
2001-01,3.8,
2001-04,12.3,
2001-07,5.7,
2001-10,-14.3,
2002-01,3.6,
2002-04,4.5,
2002-07,6.0,
2002-10,6.4,
2003-01,-0.9,
2003-04,1.9,
2003-07,-4.6,
2003-10,4.3,
2004-01,-9.1,
2004-04,1.7,
2004-07,6.9,
2004-10,-3.7,
2005-01,2.0,
2005-04,0.1,
2005-07,-0.2,
2005-10,-10.6,
2006-01,-6.1,
2006-04,0.1,
2006-07,-2.0,
2006-10,-7.0,
2007-01,-3.9,
2007-04,0.6,
2007-07,-2.6,
2007-10,-12.3,
2008-01,-5.7,
2008-04,-0.3,
2008-07,4.8,
2008-10,1.9,
2009-01,-2.3,
2009-04,-3.9,
2009-07,-4.2,
2009-10,-17.4,
2010-01,-0.4,
2010-04,-4.3,
2010-07,0.8,
2010-10,-1.2,
2011-01,-4.1,
2011-04,-3.6,
2011-07,-2.5,
2011-10,-2.7,
2012-01,2.3,
2012-04,-6.0,
2012-07,-0.5,
2012-10,-6.5,
2013-01,-9.7,
2013-04,-3.6,
2013-07,-5.7,
2013-10,-0.5,
2014-01,-5.5,
2014-04,-5.4,
2014-07,-2.6,
