"",BBK01.OECJ03U,BBK01.OECJ03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:28,
2002-01,0.306,
2002-04,0.281,
2002-07,0.294,
2002-10,0.255,
2003-01,0.287,
2003-04,0.231,
2003-07,0.242,
2003-10,0.238,
2004-01,0.246,
2004-04,0.195,
2004-07,0.242,
2004-10,0.246,
2005-01,0.209,
2005-04,0.211,
2005-07,0.232,
2005-10,0.255,
2006-01,0.228,
2006-04,0.269,
2006-07,0.269,
2006-10,0.289,
2007-01,0.315,
2007-04,0.303,
2007-07,0.352,
2007-10,0.368,
2008-01,0.395,
2008-04,0.449,
2008-07,0.443,
2008-10,0.322,
2009-01,0.308,
2009-04,0.379,
2009-07,0.317,
2009-10,0.288,
2010-01,0.310,
2010-04,0.301,
2010-07,0.274,
2010-10,0.298,
2011-01,0.344,
2011-04,0.362,
2011-07,0.353,
2011-10,0.361,
2012-01,0.468,
2012-04,0.414,
2012-07,0.364,
2012-10,0.311,
2013-01,0.209,
2013-04,0.266,
2013-07,0.249,
2013-10,0.240,
2014-01,0.235,
2014-04,0.251,
2014-07,0.217,
