"",BBEX3.M.PEN.EUR.CA.AA.A01,BBEX3.M.PEN.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Peru / EUR 1 = PEN ... (buying),
unit,PEN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:02,
2003-01,3.703,
2003-02,3.745,
2003-03,3.740,
2003-04,3.785,
2003-05,4.080,
2003-06,3.969,
2003-07,3.897,
2003-08,3.797,
2003-09,3.954,
2003-10,4.032,
2003-11,4.020,
2003-12,4.287,
2004-01,4.336,
2004-02,4.292,
2004-03,4.238,
2004-04,4.157,
2004-05,4.205,
2004-06,4.161,
2004-07,4.173,
2004-08,4.062,
2004-09,4.159,
2004-10,4.296,
2004-11,4.303,
2004-12,4.443,
2005-01,4.204,
2005-02,4.277,
2005-03,4.204,
2005-04,4.204,
2005-05,4.009,
2005-06,3.909,
2005-07,3.880,
2005-08,3.944,
2005-09,3.982,
2005-10,4.006,
2005-11,4.154,
2005-12,3.951,
2006-01,3.967,
2006-02,3.851,
2006-03,4.025,
2006-04,4.139,
2006-05,4.189,
2006-06,4.110,
2006-07,4.085,
2006-08,4.115,
2006-09,4.059,
2006-10,4.074,
2006-11,4.253,
2006-12,4.121,
2007-01,4.138,
2007-02,4.187,
2007-03,4.210,
2007-04,4.303,
2007-05,4.202,
2007-06,4.212,
2007-07,4.258,
2007-08,4.273,
2007-09,4.346,
2007-10,4.287,
2007-11,4.386,
2007-12,4.239,
2008-01,4.343,
2008-02,4.359,
2008-03,4.321,
2008-04,4.410,
2008-05,4.383,
2008-06,4.587,
2008-07,4.327,
2008-08,4.311,
2008-09,4.151,
2008-10,3.886,
2008-11,3.875,
2008-12,4.319,
2009-01,3.842,
2009-02,4.017,
2009-03,4.136,
2009-04,3.916,
2009-05,4.153,
2009-06,4.035,
2009-07,4.157,
2009-08,4.050,
2009-09,4.061,
2009-10,4.197,
2009-11,4.174,
2009-12,4.057,
2010-01,3.855,
2010-02,3.690,
2010-03,3.699,
2010-04,3.755,
2010-05,3.372,
2010-06,3.343,
2010-07,3.577,
2010-08,3.432,
2010-09,3.675,
2010-10,3.833,
2010-11,3.550,
2010-12,3.583,
2011-01,3.644,
2011-02,3.812,
2011-03,3.873,
2011-04,4.024,
2011-05,3.850,
2011-06,3.922,
2011-07,3.754,
2011-08,3.744,
2011-09,3.688,
2011-10,3.643,
2011-11,3.525,
2011-12,3.456,
2012-01,3.382,
2012-02,3.560,
2012-03,3.652,
2012-04,3.409,
2012-05,3.269,
2012-06,3.217,
2012-07,3.132,
2012-08,3.257,
2012-09,3.284,
2012-10,3.274,
2012-11,3.303,
2012-12,3.330,
2013-01,3.394,
2013-02,3.261,
2013-03,3.217,
2013-04,3.340,
2013-05,3.449,
2013-06,3.521,
2013-07,3.633,
2013-08,3.667,
2013-09,3.647,
2013-10,3.758,
2013-11,3.760,
2013-12,3.715,
2014-01,3.724,
2014-02,3.828,
2014-03,3.743,
2014-04,3.807,
2014-05,3.707,
2014-06,3.764,
2014-07,3.644,
2014-08,3.715,
2014-09,3.631,
2014-10,3.616,
2014-11,3.497,
2014-12,3.545,
2015-01,3.396,
"","Source: Superintendencia de Banca, Seguros y AFP, Lima",
