"",BBK01.OEXL08S,BBK01.OEXL08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:37,
2002-01,0.250,
2002-04,0.239,
2002-07,0.221,
2002-10,0.239,
2003-01,0.246,
2003-04,0.256,
2003-07,0.257,
2003-10,0.257,
2004-01,0.248,
2004-04,0.243,
2004-07,0.237,
2004-10,0.251,
2005-01,0.260,
2005-04,0.260,
2005-07,0.263,
2005-10,0.274,
2006-01,0.285,
2006-04,0.279,
2006-07,0.267,
2006-10,0.271,
2007-01,0.280,
2007-04,0.285,
2007-07,0.295,
2007-10,0.310,
2008-01,0.323,
2008-04,0.320,
2008-07,0.324,
2008-10,0.334,
2009-01,0.328,
2009-04,0.308,
2009-07,0.318,
2009-10,0.341,
2010-01,0.356,
2010-04,0.354,
2010-07,0.355,
2010-10,0.357,
2011-01,0.356,
2011-04,0.329,
2011-07,0.322,
2011-10,0.328,
2012-01,0.326,
2012-04,0.333,
2012-07,0.345,
2012-10,0.361,
2013-01,0.363,
2013-04,0.362,
2013-07,0.369,
2013-10,0.378,
2014-01,0.383,
2014-04,0.379,
2014-07,0.373,
