"",BBK01.CEL450,BBK01.CEL450_FLAGS
"",Loans                                                           debtor: OFI                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:35,
1999-01,1.5,
1999-04,16.4,
1999-07,-8.0,
1999-10,8.2,
2000-01,32.3,
2000-04,18.6,
2000-07,-5.9,
2000-10,47.0,
2001-01,26.9,
2001-04,0.2,
2001-07,18.9,
2001-10,-6.4,
2002-01,-2.1,
2002-04,12.5,
2002-07,6.0,
2002-10,8.4,
2003-01,12.8,
2003-04,2.6,
2003-07,8.4,
2003-10,-25.9,
2004-01,-14.4,
2004-04,-5.0,
2004-07,-2.0,
2004-10,-12.9,
2005-01,4.3,
2005-04,7.6,
2005-07,20.9,
2005-10,-2.5,
2006-01,38.8,
2006-04,20.3,
2006-07,14.8,
2006-10,-19.3,
2007-01,36.5,
2007-04,18.0,
2007-07,13.9,
2007-10,-21.6,
2008-01,47.2,
2008-04,18.9,
2008-07,5.5,
2008-10,27.5,
2009-01,19.6,
2009-04,9.3,
2009-07,-5.8,
2009-10,12.2,
2010-01,-17.1,
2010-04,44.7,
2010-07,2.0,
2010-10,14.5,
2011-01,5.1,
2011-04,43.2,
2011-07,64.5,
2011-10,-30.7,
2012-01,37.2,
2012-04,40.1,
2012-07,-12.6,
2012-10,-19.9,
2013-01,34.0,
2013-04,53.1,
2013-07,-40.3,
2013-10,-21.9,
2014-01,22.2,
2014-04,8.0,
2014-07,2.1,
