"",BBK01.WZ3443,BBK01.WZ3443_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 17.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:21,
1986-06,6.29,
1986-07,6.28,
1986-08,6.10,
1986-09,6.54,
1986-10,6.82,
1986-11,6.38,
1986-12,6.43,
1987-01,6.46,
1987-02,6.70,
1987-03,6.27,
1987-04,6.32,
1987-05,6.42,
1987-06,6.93,
1987-07,7.18,
1987-08,7.29,
1987-09,7.65,
1987-10,7.14,
1987-11,7.22,
1987-12,7.38,
1988-01,7.66,
1988-02,7.26,
1988-03,7.33,
1988-04,7.50,
1988-05,7.72,
1988-06,7.62,
1988-07,7.62,
1988-08,7.53,
1988-09,7.31,
1988-10,7.09,
1988-11,7.19,
1988-12,7.09,
1989-01,7.05,
1989-02,7.15,
1989-03,7.19,
1989-04,7.03,
1989-05,7.10,
1989-06,6.89,
1989-07,6.77,
1989-08,6.92,
1989-09,7.03,
1989-10,7.09,
1989-11,7.16,
1989-12,7.19,
1990-01,7.53,
1990-02,8.21,
1990-03,8.17,
1990-04,8.73,
1990-05,8.56,
1990-06,8.46,
1990-07,8.35,
1990-08,8.71,
1990-09,8.82,
1990-10,8.69,
1990-11,8.43,
1990-12,9.09,
1991-01,8.15,
1991-02,7.98,
1991-03,8.05,
1991-04,7.93,
1991-05,7.91,
1991-06,8.11,
1991-07,8.28,
1991-08,8.00,
1991-09,7.95,
1991-10,7.81,
1991-11,7.65,
1991-12,7.53,
1992-01,7.39,
1992-02,7.47,
1992-03,7.42,
1992-04,7.67,
1992-05,7.65,
1992-06,7.75,
1992-07,7.71,
1992-08,7.49,
1992-09,7.13,
1992-10,7.23,
1992-11,7.15,
1992-12,7.13,
1993-01,7.06,
1993-02,6.94,
1993-03,7.04,
1993-04,7.04,
1993-05,7.11,
1993-06,6.94,
1993-07,6.80,
1993-08,6.46,
1993-09,6.54,
1993-10,6.36,
1993-11,6.41,
1993-12,6.29,
1994-01,6.34,
1994-02,6.87,
1994-03,7.07,
1994-04,7.33,
1994-05,7.67,
1994-06,7.54,
1994-07,7.53,
1994-08,7.82,
1994-09,8.04,
1994-10,8.01,
1994-11,7.80,
1994-12,7.95,
1995-01,7.78,
1995-02,7.70,
1995-03,7.88,
1995-04,7.71,
1995-05,7.41,
1995-06,7.70,
1995-07,7.59,
1995-08,7.52,
1995-09,7.61,
1995-10,7.41,
1995-11,7.15,
1995-12,6.99,
1996-01,6.82,
1996-02,7.38,
1996-03,7.39,
1996-04,7.26,
1996-05,7.45,
1996-06,7.41,
1996-07,7.23,
1996-08,7.35,
1996-09,7.05,
1996-10,6.94,
1996-11,6.72,
1996-12,6.81,
1997-01,6.78,
1997-02,6.36,
1997-03,6.80,
1997-04,6.77,
1997-05,6.90,
1997-06,6.60,
1997-07,6.28,
1997-08,6.45,
1997-09,6.18,
1997-10,6.23,
