"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F3.L.Z06._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F3.L.Z06._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Long-term debt-securities / Denominated in foreign currency / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:52,
1991-01,5865.271,
1991-02,7051.731,
1991-03,7863.484,
1991-04,7838.718,
1991-05,8118.643,
1991-06,6852.544,
1991-07,7992.471,
1991-08,8896.738,
1991-09,8767.097,
1991-10,10070.582,
1991-11,8728.915,
1991-12,8769.299,
1992-01,13937.937,
1992-02,16026.513,
1992-03,15000.648,
1992-04,11362.412,
1992-05,11080.959,
1992-06,12997.209,
1992-07,12146.497,
1992-08,9575.143,
1992-09,12250.496,
1992-10,11986.342,
1992-11,11632.693,
1992-12,8874.175,
1993-01,11071.810,
1993-02,14222.635,
1993-03,16620.969,
1993-04,13796.095,
1993-05,11783.108,
1993-06,15396.889,
1993-07,19020.208,
1993-08,17545.784,
1993-09,15308.772,
1993-10,16835.226,
1993-11,16260.223,
1993-12,14147.796,
1994-01,17566.909,
1994-02,16249.003,
1994-03,19396.815,
1994-04,11849.371,
1994-05,9159.064,
1994-06,14704.289,
1994-07,9988.750,
1994-08,9579.180,
1994-09,10263.811,
1994-10,8567.826,
1994-11,9521.397,
1994-12,11072.435,
1995-01,11740.426,
1995-02,11369.579,
1995-03,14511.486,
1995-04,9835.080,
1995-05,12497.533,
1995-06,14053.614,
1995-07,14518.065,
1995-08,16021.949,
1995-09,15790.676,
1995-10,13424.924,
1995-11,19006.490,
1995-12,16342.670,
1996-01,24133.557,
1996-02,21564.566,
1996-03,21491.005,
1996-04,22515.143,
1996-05,22894.890,
1996-06,18322.700,
1996-07,27125.611,
1996-08,19527.379,
1996-09,19630.063,
1996-10,29156.303,
1996-11,22488.323,
1996-12,23225.066,
1997-01,28328.687,
1997-02,28659.218,
1997-03,28300.885,
1997-04,26196.060,
1997-05,26730.118,
1997-06,32261.189,
1997-07,36859.408,
1997-08,37401.271,
1997-09,33525.955,
1997-10,39966.738,
1997-11,32855.634,
1997-12,37070.189,
1998-01,38401.792,
1998-02,48525.755,
1998-03,50019.692,
1998-04,43032.419,
1998-05,43936.870,
1998-06,49484.903,
1998-07,46415.070,
1998-08,61209.768,
1998-09,59376.651,
1998-10,62296.064,
1998-11,53605.217,
1998-12,46602.786,
1999-01,30054.881,
1999-02,27666.408,
1999-03,37547.138,
1999-04,30950.900,
1999-05,35119.038,
1999-06,36308.076,
1999-07,32095.843,
1999-08,25817.221,
1999-09,26855.783,
1999-10,23909.663,
1999-11,29420.965,
1999-12,22659.703,
2000-01,25719.307,
2000-02,29570.348,
2000-03,39530.714,
2000-04,28123.783,
2000-05,38223.263,
2000-06,36298.189,
2000-07,27917.995,
2000-08,29755.576,
2000-09,31847.298,
2000-10,41493.072,
2000-11,36571.294,
2000-12,40584.937,
2001-01,44077.497,
2001-02,36225.170,
2001-03,48954.228,
2001-04,36865.529,
2001-05,61009.560,
2001-06,44799.051,
2001-07,45174.715,
2001-08,37585.812,
2001-09,36112.880,
2001-10,42868.823,
2001-11,55157.133,
2001-12,30754.893,
2002-01,52777.957,
2002-02,31803.246,
2002-03,46030.346,
2002-04,38267.070,
2002-05,30790.971,
2002-06,28443.407,
2002-07,36396.129,
2002-08,31724.777,
2002-09,30270.781,
2002-10,38839.431,
2002-11,31790.070,
2002-12,25414.427,
2003-01,33105.997,
2003-02,27366.142,
2003-03,33189.555,
2003-04,23179.359,
2003-05,32064.284,
2003-06,31877.475,
2003-07,41942.477,
2003-08,28323.424,
2003-09,30079.049,
2003-10,30879.441,
2003-11,22679.802,
2003-12,25191.660,
2004-01,28444.244,
2004-02,31919.902,
2004-03,34270.211,
2004-04,30992.992,
2004-05,25598.974,
2004-06,24469.086,
2004-07,25085.261,
2004-08,30290.086,
2004-09,24761.753,
2004-10,26729.298,
2004-11,24633.583,
2004-12,22932.557,
2005-01,24339.527,
2005-02,26563.124,
2005-03,30204.937,
2005-04,25509.699,
2005-05,26069.793,
2005-06,26717.164,
2005-07,17563.595,
2005-08,22123.080,
2005-09,24737.750,
2005-10,24115.745,
2005-11,23054.281,
2005-12,20561.001,
2006-01,28576.953,
2006-02,24064.705,
2006-03,27483.850,
2006-04,19635.010,
2006-05,20973.722,
2006-06,22232.682,
2006-07,17450.902,
2006-08,19853.299,
2006-09,21838.466,
2006-10,22527.194,
2006-11,22834.325,
2006-12,20759.871,
2007-01,26731.337,
2007-02,23982.323,
2007-03,26686.716,
2007-04,19842.589,
2007-05,25728.293,
2007-06,32567.208,
2007-07,21379.946,
2007-08,22821.418,
2007-09,16657.519,
2007-10,19601.870,
2007-11,24304.028,
2007-12,18221.396,
2008-01,22539.885,
2008-02,20186.802,
2008-03,21389.336,
2008-04,22280.536,
