"",BBFB1.Q.N.DE.PL.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:32,
1991-01,-29.141,
1991-04,-5.272,
1991-07,-16.131,
1991-10,-160.914,
1992-01,-20.166,
1992-04,24.927,
1992-07,-63.239,
1992-10,-1.987,
1993-01,11.224,
1993-04,-15.204,
1993-07,19.794,
1993-10,21.331,
1994-01,-38.320,
1994-04,8.907,
1994-07,11.889,
1994-10,17.058,
1995-01,-12.004,
1995-04,51.238,
1995-07,80.106,
1995-10,61.242,
1996-01,5.587,
1996-04,96.373,
1996-07,113.233,
1996-10,47.600,
1997-01,-2.956,
1997-04,95.188,
1997-07,138.427,
1997-10,89.498,
1998-01,-10.534,
1998-04,92.274,
1998-07,156.270,
1998-10,85.893,
1999-01,-12.711,
1999-04,87.540,
1999-07,166.215,
1999-10,72.530,
2000-01,11.993,
2000-04,119.912,
2000-07,302.528,
2000-10,93.627,
2001-01,33.417,
2001-04,144.153,
2001-07,-12.959,
2001-10,57.795,
2002-01,-99.100,
2002-04,197.849,
2002-07,219.351,
2002-10,28.053,
2003-01,-18.931,
2003-04,198.706,
2003-07,235.565,
2003-10,121.686,
2004-01,-49.110,
2004-04,205.947,
2004-07,157.362,
2004-10,111.710,
2005-01,19.108,
2005-04,267.460,
2005-07,358.276,
2005-10,131.556,
2006-01,14.234,
2006-04,236.773,
2006-07,282.528,
2006-10,119.969,
2007-01,4.875,
2007-04,183.516,
2007-07,309.006,
2007-10,131.838,
2008-01,6.039,
2008-04,161.613,
2008-07,252.925,
2008-10,100.608,
2009-01,18.506,
2009-04,161.160,
2009-07,285.035,
2009-10,105.020,
2010-01,11.971,
2010-04,131.997,
2010-07,243.064,
2010-10,85.360,
2011-01,4.940,
2011-04,143.420,
2011-07,277.847,
2011-10,118.413,
2012-01,12.295,
2012-04,150.541,
2012-07,283.960,
2012-10,127.526,
2013-01,2.739,
2013-04,136.244,
2013-07,299.234,
2013-10,141.145,
2014-01,14.003,Provisional value
2014-04,142.119,Provisional value
2014-07,284.136,Provisional value
