"",BBK01.OECM03U,BBK01.OECM03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:40,
2002-01,0.120,
2002-04,0.124,
2002-07,0.103,
2002-10,0.098,
2003-01,0.087,
2003-04,0.116,
2003-07,0.092,
2003-10,0.090,
2004-01,0.088,
2004-04,0.082,
2004-07,0.076,
2004-10,0.069,
2005-01,0.059,
2005-04,0.054,
2005-07,0.068,
2005-10,0.057,
2006-01,0.098,
2006-04,0.096,
2006-07,0.103,
2006-10,0.108,
2007-01,0.100,
2007-04,0.119,
2007-07,0.155,
2007-10,0.222,
2008-01,0.162,
2008-04,0.172,
2008-07,0.197,
2008-10,0.151,
2009-01,0.130,
2009-04,0.129,
2009-07,0.108,
2009-10,0.052,
2010-01,0.062,
2010-04,0.051,
2010-07,0.060,
2010-10,0.059,
2011-01,0.046,
2011-04,0.049,
2011-07,0.069,
2011-10,0.058,
2012-01,0.090,
2012-04,0.095,
2012-07,0.080,
2012-10,0.084,
2013-01,0.072,
2013-04,0.077,
2013-07,0.074,
2013-10,0.055,
2014-01,0.054,
2014-04,0.053,
2014-07,0.041,
