"",BBFN1.M.DE.N.1.L.GR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.GR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Greece,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:31,
1994-07,0.099,
1994-08,0.111,
1994-09,0.123,
1994-10,0.125,
1994-11,0.110,
1994-12,0.107,
1995-01,0.107,
1995-02,0.115,
1995-03,0.100,
1995-04,0.099,
1995-05,0.104,
1995-06,0.111,
1995-07,0.111,
1995-08,0.118,
1995-09,0.120,
1995-10,0.115,
1995-11,0.122,
1995-12,0.098,
1996-01,0.085,
1996-02,0.090,
1996-03,0.092,
1996-04,0.089,
1996-05,0.099,
1996-06,0.116,
1996-07,0.118,
1996-08,0.129,
1996-09,0.120,
1996-10,0.103,
1996-11,0.105,
1996-12,0.114,
1997-01,0.107,
1997-02,0.113,
1997-03,0.114,
1997-04,0.121,
1997-05,0.127,
1997-06,0.128,
1997-07,0.146,
1997-08,0.139,
1997-09,0.134,
1997-10,0.134,
1997-11,0.123,
1997-12,0.123,
1998-01,0.138,
1998-02,0.146,
1998-03,0.134,
1998-04,0.151,
1998-05,0.174,
1998-06,0.150,
1998-07,0.151,
1998-08,0.155,
1998-09,0.166,
1998-10,0.135,
1998-11,0.137,
1998-12,0.138,
1999-01,0.165,
1999-02,0.150,
1999-03,0.166,
1999-04,0.163,
1999-05,0.183,
1999-06,0.178,
1999-07,0.210,
1999-08,0.194,
1999-09,0.216,
1999-10,0.187,
1999-11,0.174,
1999-12,0.185,
2000-01,0.211,
2000-02,0.203,
2000-03,0.265,
2000-04,0.274,
2000-05,0.222,
2000-06,0.305,
2000-07,0.235,
2000-08,0.216,
2000-09,0.229,
2000-10,0.221,
2000-11,0.237,
2000-12,0.222,
2001-01,0.213,
2001-02,0.219,
2001-03,0.203,
2001-04,0.201,
2001-05,0.208,
2001-06,0.231,
2001-07,0.238,
2001-08,0.224,
2001-09,0.229,
2001-10,0.234,
2001-11,0.228,
2001-12,0.231,
2002-01,0.221,
2002-02,0.190,
2002-03,0.190,
2002-04,0.199,
2002-05,0.206,
2002-06,0.209,
2002-07,0.206,
2002-08,0.196,
2002-09,0.191,
2002-10,0.214,
2002-11,0.203,
2002-12,0.214,
2003-01,0.215,
2003-02,0.195,
2003-03,0.193,
2003-04,0.186,
2003-05,0.193,
2003-06,0.212,
2003-07,0.205,
2003-08,0.515,
2003-09,0.505,
2003-10,0.510,
2003-11,0.199,
2003-12,0.211,
2004-01,0.210,
2004-02,0.201,
2004-03,0.230,
2004-04,0.211,
2004-05,0.185,
2004-06,0.192,
2004-07,0.207,
2004-08,0.185,
2004-09,0.196,
2004-10,0.200,
2004-11,0.194,
2004-12,0.209,
2005-01,0.185,
2005-02,0.202,
2005-03,0.200,
2005-04,0.208,
2005-05,0.212,
2005-06,0.224,
2005-07,0.245,
2005-08,0.187,
2005-09,0.209,
2005-10,0.217,
2005-11,0.213,
2005-12,0.236,
2006-01,0.265,
2006-02,0.166,
2006-03,0.159,
2006-04,0.179,
2006-05,0.175,
2006-06,0.207,
2006-07,0.226,
2006-08,0.182,
2006-09,0.198,
2006-10,0.196,
2006-11,0.212,
2006-12,0.231,
2007-01,0.208,
2007-02,0.183,
2007-03,0.185,
2007-04,0.180,
2007-05,0.205,
2007-06,0.196,
2007-07,0.214,
2007-08,0.232,
2007-09,0.251,
2007-10,0.241,
2007-11,0.224,
2007-12,0.232,
2008-01,0.161,
2008-02,0.174,
2008-03,0.168,
2008-04,0.177,
2008-05,0.197,
2008-06,0.239,
2008-07,0.243,
2008-08,0.230,
2008-09,0.238,
2008-10,0.203,
2008-11,0.179,
2008-12,0.198,
2009-01,0.175,
2009-02,0.188,
2009-03,0.179,
2009-04,0.174,
2009-05,0.170,
2009-06,0.191,
2009-07,0.178,
2009-08,0.161,
2009-09,0.187,
2009-10,0.164,
2009-11,0.168,
2009-12,0.161,
2010-01,0.133,
2010-02,0.140,
2010-03,0.154,
2010-04,0.139,
2010-05,0.147,
2010-06,0.170,
2010-07,0.163,
2010-08,0.163,
2010-09,0.188,
2010-10,0.193,
2010-11,0.163,
2010-12,0.168,
2011-01,0.132,
2011-02,0.143,
2011-03,0.183,
2011-04,0.179,
2011-05,0.201,
2011-06,0.216,
2011-07,0.231,
2011-08,0.187,
2011-09,0.238,
2011-10,0.245,
2011-11,0.229,
2011-12,0.244,
2012-01,0.227,
2012-02,0.223,
2012-03,0.240,
2012-04,0.184,
2012-05,0.187,
2012-06,0.179,
2012-07,0.177,
2012-08,0.151,
2012-09,0.167,
2012-10,0.168,
2012-11,0.173,
2012-12,0.193,
2013-01,0.144,
2013-02,0.143,
2013-03,0.141,
2013-04,0.161,
2013-05,0.151,
2013-06,0.178,
2013-07,0.200,
2013-08,0.191,
2013-09,0.248,
2013-10,0.287,
2013-11,0.273,
2013-12,0.276,
2014-01,0.230,
2014-02,0.272,
2014-03,0.279,
2014-04,0.268,
2014-05,0.302,
2014-06,0.202,
2014-07,0.213,
2014-08,0.220,
2014-09,0.221,
2014-10,0.209,
2014-11,0.172,
2014-12,0.174,
