"",BBK01.OEXB08L,BBK01.OEXB08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:37,
2002-01,14.845,
2002-04,15.082,
2002-07,16.169,
2002-10,17.020,
2003-01,16.889,
2003-04,16.850,
2003-07,17.500,
2003-10,18.098,
2004-01,20.036,
2004-04,21.114,
2004-07,21.907,
2004-10,23.202,
2005-01,25.680,
2005-04,27.628,
2005-07,30.585,
2005-10,43.215,
2006-01,47.080,
2006-04,49.667,
2006-07,51.181,
2006-10,53.401,
2007-01,55.703,
2007-04,56.766,
2007-07,60.558,
2007-10,66.793,
2008-01,68.555,
2008-04,66.324,
2008-07,67.004,
2008-10,67.804,
2009-01,66.968,
2009-04,67.837,
2009-07,69.694,
2009-10,70.536,
2010-01,71.257,
2010-04,72.480,
2010-07,76.397,
2010-10,77.978,
2011-01,78.449,
2011-04,79.446,
2011-07,80.601,
2011-10,81.352,
2012-01,81.806,
2012-04,82.765,
2012-07,83.605,
2012-10,79.862,
2013-01,79.723,
2013-04,80.159,
2013-07,80.924,
2013-10,81.601,
2014-01,81.506,
2014-04,82.585,
2014-07,83.654,
